dss_LaResistencia.psv ->> ID..........................: 718
dss_LaResistencia.psv ->> CLASIFICACION...............: Endoacuol típico
dss_LaResistencia.psv ->> SERIE.......................: LA RESISTENCIA (Res)
dss_LaResistencia.psv ->> UBICACION...................: 11 km al Norte de la localidad de Dalmacio Vélez Sársfield, departamento Tercero Arriba
dss_LaResistencia.psv ->> PROVINCIA...................: CORDOBA
dss_LaResistencia.psv ->> LATITUD.....................: S633500
dss_LaResistencia.psv ->> LONGITUD....................: O323100
dss_LaResistencia.psv ->> ALTITUD.....................: 239
dss_LaResistencia.psv ->> PENDIENTE...................: FALTA!
dss_LaResistencia.psv ->> DRENAJE.....................: FALTA!
dss_LaResistencia.psv ->> ESCURRIMIENTO...............: FALTA!
dss_LaResistencia.psv ->> PERMEABILIDAD...............: FALTA!
dss_LaResistencia.psv ->> TIPO DE SUELO...............: LIOSA FINA A GRUESA, MIXTA, TÉRMICA
dss_LaResistencia.psv ->> COLOR ......................: PARDO GRISÁCEO OSCURO
dss_LaResistencia.psv ->> HORIZONTE->NOMBRE(S)........: ap | ak | ack | ck
dss_LaResistencia.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-19 | 19-31 | 31-55 | 55a+
dss_LaResistencia.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 1.72 | 0.34 | 0.17 | 
dss_LaResistencia.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1.0 | 0.2 | 0.1 | 
dss_LaResistencia.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.13 | 0.05 | 0.04 | 
dss_LaResistencia.psv ->> HORIZONTE->RELACIÓN C/N.....: 7.7 | 4.0 | 2.5 | 
dss_LaResistencia.psv ->> HORIZONTE->ARCILLA 2 (%)....: 19.4 | 19.2 | 19.0 | 17.5
dss_LaResistencia.psv ->> HORIZONTE->LIMO 2-50 (%)....: 59.7 | 56.9 | 56.7 | 56.4
dss_LaResistencia.psv ->> HORIZONTE->AMF 50-100 (%)...: 20.5 | 24.5 | 23.3 | 25.6
dss_LaResistencia.psv ->> HORIZONTE->AF 100-250 (%)...: 1.2 | 0.7 | 0.7 | 0.1
dss_LaResistencia.psv ->> HORIZONTE->AM 250-500 (%)...: 0.05 | 0.05 | 0.1 | 0.05
dss_LaResistencia.psv ->> HORIZONTE->AG 500-1000 (%)..: 0.05 | 0.05 | 0.2 | 0.1
dss_LaResistencia.psv ->> HORIZONTE->AMG 1-2 mm (%)...: - | - | 0.05 | 0.1
dss_LaResistencia.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0.8 | 2.5 | 4.8 | 4.2
dss_LaResistencia.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 24.0 | 21.8 | 22.9 | 21.0
dss_LaResistencia.psv ->> HORIZONTE->PH PASTA.........: 7.6 | 8.1 | 8.4 | 8.8
dss_LaResistencia.psv ->> HORIZONTE->PH H2O 1:2,5.....: 7.9 | 8.3 | 8.7 | 9.2
dss_LaResistencia.psv ->> HORIZONTE->CI ME/100G-Ca ++.: - | - | - | 
dss_LaResistencia.psv ->> HORIZONTE->CI ME/100G-Mg ++.: - | - | - | 
dss_LaResistencia.psv ->> HORIZONTE->CI ME/100G-Na +..: 1.0 | 2.6 | 4.2 | 0.2
dss_LaResistencia.psv ->> HORIZONTE->CI ME/100G-K +...: 3.7 | 3.8 | 3.8 | 3.2
dss_LaResistencia.psv ->> HORIZONTE->CI ME/100G-H +...: - | - | - | 
dss_LaResistencia.psv ->> HORIZONTE->Na+ % DEL VALOR T: 5.4 | 14.9 | 24.7 | 
dss_LaResistencia.psv ->> HORIZONTE->SUM.B. ME/100G(S): - | - | - | 
dss_LaResistencia.psv ->> HORIZONTE->CIC ME/100G(T)...: 18.4 | 17.4 | 17.0 | 14.5
dss_LaResistencia.psv ->> HORIZONTE->SAT.B % (S/T)....: - | - | - | 
