ap    |  e      |  bt     |  bc     |  ck
0-10  |  10-18  |  18-52  |  52-97  |  97a+
2.73  |  2.15   |  1.13   |  0.24   |
1.59  |  1.25   |  0.66   |  0.14   |  0.10
0.14  |  0.12   |  0.08   |  0.04   |
11.3  |  10.4   |  8.2    |  3.5    |
19.6  |  17     |  24.6   |  -      |  13.0
71.9  |  72.3   |  67.7   |  -      |  72.9
8.4   |  9.0    |  6.5    |  -      |  10.2
0.3   |  0.2    |  0.4    |  -      |  0.9
-     |  -      |  -      |  -      |  0.2
-     |  -      |  -      |  -      |
-     |  -      |  -      |  -      |
0     |  0      |  0      |  0      |  5.44
25.7  |  25.2   |  31     |  27.2   |  24.6
5.7   |  6.3    |  7.2    |  7.9    |  9.4
6.1   |  6.5    |  7.7    |  8.2    |  9.9
10.6  |  9.0    |  13.1   |  -      |
3.3   |  3.0    |  5.2    |  -      |
0.5   |  1.5    |  4.7    |  -      |  10.6
2.5   |  1.7    |  3.5    |  -      |  4.3
3.1   |  2.6    |  -      |  -      |
-     |  9.37   |  17.87  |  -      |  62.0
-     |  -      |  -      |  13.3   |  3.56
16.9  |  15.2   |  26.8   |  -      |
19.6  |  16.0   |  26.3   |  23.6   |  17.1
-     |  -      |  -      |  -      |
-     |  -      |  -      |  26.0   |
-     |  -      |  -      |  11.2   |
-     |  -      |  -      |  120.0  |
-     |  -      |  -      |  4.0    |
-     |  -      |  -      |  7.2    |
-     |  -      |  -      |  131.0  |
-     |  -      |  -      |  22.4   |
