ap     |  a      |  ac     |  c
0-20   |  20-29  |  29-62  |  62-150
2.45   |  2.42   |  0.87   |
1.43   |  1.41   |  0.51   |
0.12   |  0.11   |  0.06   |  0.04
11.81  |  11.8   |  7.39   |  4.77
18.4   |  21.2   |  16.2   |  14.7
49.0   |  49.1   |  44.8   |  44.6
19.3   |  16.9   |  22.7   |  23.8
12.1   |  10.2   |  15.0   |  13.4
1.2    |  2.6    |  1.3    |  3.5
-      |  -      |  -      |
-      |  -      |  -      |
0      |  0      |  0      |  0
24.2   |  25.2   |  19.7   |  18.7
5.8    |  6.2    |  6.6    |  7.0
6.6    |  7.0    |  7.4    |  7.6
10.1   |  12.0   |  8.6    |  8.0
2.9    |  2.8    |  4.1    |  4.8
0.5    |  0.6    |  0.3    |  0.4
2.6    |  1.8    |  1.4    |  1.0
-      |  -      |  -      |
-      |  -      |  -      |
16.1   |  17.2   |  14.4   |  14.2
19.5   |  19.0   |  15.3   |  13.7
82     |  90     |  94     |  100
