--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR.......................: FALTA!
HORIZONTE->NOMBRE(S)........:  Ap    | A     | BA    | Bt1   | Bt2    | BC      | C
HORIZONTE->Profundidad:  0-21  | 21-36 | 36-49 | 49-70 | 70-100 | 100-160 | 160-185
HORIZONTE->muestra:  4.97  | 3.45  | 2.07  | 1.40  | 0.76   | 0.52    | 0.19
HORIZONTE->Mat. orgánica:  2.88  | 2.00  | 1.20  | 0.81  | 0.44   | 0.30    | 0.11
HORIZONTE->C orgánico:  0.235 | 0.163 | 0.109 | 0.080 | 0.05   | ---     | ---
HORIZONTE->N total:  12    | 12    | 11    | 10    | 8      | ---     | ---
HORIZONTE->Relación C/N:  30.6  | 35.2  | 34.5  | 33.0  | 32.0   | 26.3    | 19.9
HORIZONTE->Arcilla < 2µ:  55.1  | 50.3  | 48.0  | 46.2  | 43.6   | 46.0    | 46.0
HORIZONTE->Limo 2-50µ:  14.3  | 14.5  | 17.5  | 20.8  | 24.4   | 27.7    | 34.1
HORIZONTE->Arena >50µ:  100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0
HORIZONTE->TOTAL:  ---   | ---   | ---   | ---   | ---    | ---     | ---
HORIZONTE->Limo 2-20µ:  -     | -     | -     | -     | -      | -       | -
HORIZONTE->Arena::  13.6  | 14.0  | 17.3  | 19.8  | 23.3   | 26.5    | 32.4
HORIZONTE->Muy fina 50-100µ:  0.7   | 0.5   | 0.2   | 1.0   | 1.1    | 1.2     | 1.7
HORIZONTE->Fina 100-250µ:  0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Media 250-500µ:  0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Gruesa 500-1000µ:  0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm:  0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3:  31.1  | 30.7  | 28.6  | 27.7  | 27.3   | 24.0    | 19.8
HORIZONTE->Equiv.humedad:  ---   | ---   | ---   | ---   | ---    | ---     | ---
HORIZONTE->Resist.pasta:  ---   | ---   | ---   | ---   | ---    | ---     | ---
HORIZONTE->Conductividad:  5.8   | 5.9   | 5.9   | 6.0   | 6.1    | 6.2     | 6.4
HORIZONTE->pH pasta (1:1):  6.2   | 6.7   | 6.7   | 7.0   | 7.1    | 7.4     | 7.4
HORIZONTE->pH agua (1:2,5):  ---   | ---   | ---   | ---   | ---    | ---     | ---
HORIZONTE->pH 1N ClK (1:2,5):  13.7  | 14.6  | 13.4  | 8.4   | 8.4    | 6.4     | 6.1
HORIZONTE->Ca++ intercambio:  4.8   | 4.7   | 4.7   | 4.0   | 4.0    | 5.9     | 4.5
HORIZONTE->Mg++ intercambio:  0.2   | 0.3   | 0.3   | 0.2   | 0.2    | 0.2     | 0.2
HORIZONTE->Na+ intercambio:  2.8   | 2.0   | 1.9   | 1.5   | 1.5    | 1.5     | 1.5
HORIZONTE->K+ intercambio:  4.4   | 5.8   | 4.8   | 4.4   | 3.9    | 3.0     | 2.7
HORIZONTE->H+ intercambio:  0.9   | 1.3   | 1.4   | 1.3   | 1.2    | 1.4     | 1.6
HORIZONTE->(Na+/T):  22.6  | 23.9  | 22.2  | 15.9  | 16.3   | 14.7    | 12.8
HORIZONTE->C.I.C., (T):  21.5  | 21.6  | 20.3  | 14.1  | 14.1   | 14.0    | 12.3
HORIZONTE->Suma bases (S):  95    | 90    | 91    | 89    | 87     | 95      | 96
HORIZONTE->Sat.bases, (S/T):  
