--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR.......................: FALTA!
HORIZONTE->NOMBRE(S)........:  E1    | E2    | Bt1   | Bt2    | BC
HORIZONTE->Profundidad muestra:  0-15  | 15-28 | 28-76 | 76-122 | 122-135
HORIZONTE->Mat. orgánica:  4.09  | 1.43  | 1.00  | 0.40   | 0.22
HORIZONTE->C orgánico:  2.37  | 0.83  | 0.58  | 0.23   | 0.13
HORIZONTE->N total:  0.187 | 0.065 | 0.068 | 0.041  | 0.033
HORIZONTE->Relación C/N:  13    | 13    | 9     | 6      | 4
HORIZONTE->Arcilla < 2µ:  37.1  | 35.0  | 68.8  | 51.5   | 48.9
HORIZONTE->Limo 2-50µ:  61.1  | 61.8  | 30.4  | 47.0   | 48.7
HORIZONTE->Arena >50µ:  1.8   | 3.2   | 0.8   | 1.5    | 2.4
HORIZONTE->TOTAL:  100.0 | 100.0 | 100.0 | 100.0  | 100.0
HORIZONTE->Limo 2-20µ:  44.1  | 46.1  | 24.3  | 39.2   | 39.7
HORIZONTE->Arena::  -     | -     | -     | -      | -
HORIZONTE->Muy fina 50-100µ:  1.4   | 1.4   | 0.4   | 0.7    | 1.0
HORIZONTE->Fina 100-250µ:  0.4   | 1.8   | 0.4   | 0.8    | 1.4
HORIZONTE->Media 250-500µ:  0.0   | 0.0   | 0.0   | 0.0    | 0.0
HORIZONTE->Gruesa 500-1000µ:  0.0   | 0.0   | 0.0   | 0.0    | 0.0
HORIZONTE->Muy gruesa 1-2mm:  0.0   | 0.0   | 0.0   | 0.0    | 0.0
HORIZONTE->Calcáreo, CaCO3:  0.00  | 0.00  | 0.00  | 0.00   | 0.00
HORIZONTE->Equiv.humedad:  ---   | ---   | ---   | ---    | ---
HORIZONTE->Resist.pasta:  4743  | 5807  | 1256  | 1355   | 1306
HORIZONTE->Conductividad:  ---   | ---   | ---   | ---    | ---
HORIZONTE->pH pasta (1:1):  5.9   | 6.5   | 6.7   | 7.5    | 7.7
HORIZONTE->pH agua (1:2,5):  5.9   | 6.5   | 7.3   | 7.8    | 7.9
HORIZONTE->pH 1N ClK (1:2,5):  4.7   | 5.0   | 5.5   | 5.8    | 5.8
HORIZONTE->Ca++ intercambio:  10.8  | 9.6   | 21.1  | 20.1   | 17.1
HORIZONTE->Mg++ intercambio:  0.6   | 0.2   | 5.7   | 5.8    | 5.8
HORIZONTE->Na+ intercambio:  0.7   | 0.8   | 1.3   | 1.7    | 1.8
HORIZONTE->K+ intercambio:  1.1   | 0.8   | 1.7   | 1.9    | 1.9
HORIZONTE->H+ intercambio:  5.3   | 3.5   | 1.8   | 0.9    | 0.9
HORIZONTE->(Na+/T):  3.7   | 5.3   | 4.1   | 5.7    | 6.6
HORIZONTE->C.I.C., (T):  18.8  | 15.0  | 31.6  | 30.0   | 27.4
HORIZONTE->Suma bases (S):  13.2  | 11.4  | 29.8  | 29.5   | 26.6
HORIZONTE->Sat.bases, (S/T):  70    | 76    | 94    | 98     | 97
