--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........:  a     |  btn    |  bc     |  ck
HORIZONTE->Profundidad de la muestra (cm):  0-24  |  24-55  |  55-91  |  91a+
HORIZONTE->Materia Orgánica (%):  2,51  |  ---    |  ---    |  ---
HORIZONTE->Carbono Orgánico (%):  1,46  |  ---    |  ---    |  ---
HORIZONTE->Nitrógeno total (%):  0,15  |  0,04   |  ---    |  ---
HORIZONTE->Relación C/N:  9,7   |  ---    |  ---    |  ---
HORIZONTE->Arcilla, <2 μ (%):  10,2  |  20,6   |  ---    |  12,9
HORIZONTE->Limo, 2-50 μ (%):  39,6  |  31     |  ---    |  25,8
HORIZONTE->Arena muy fina, 50-100 μ (%):  39,2  |  36,4   |  ---    |  43,9
HORIZONTE->Arena fina, 100-250 μ (%):  11,7  |  12,4   |  ---    |  16,9
HORIZONTE->Arena media, 250-500 μ (%):  0,3   |  0,1    |  ---    |  0,5
HORIZONTE->Arena gruesa, 500-1000 μ (%):  0,3   |  0      |  ---    |  0,5
HORIZONTE->Arena muy gruesa, 1-2 mm (%):  0     |  0      |  ---    |  0
HORIZONTE->Carbonatos (% CaCO3):  0     |  2,3    |  0,6    |  3,7
HORIZONTE->Equivalente de humedad (%):  17,7  |  26,6   |  18,1   |  15,9
HORIZONTE->pH en pasta:  5,1   |  7,4    |  8      |  8,5
HORIZONTE->pH en agua (1:2,5):  5,3   |  7,9    |  8,8    |  9,3
HORIZONTE->Conductividad (ext. satur.) (mmhos/cm):  5,4   |  15,34  |  18,02  |  12,01
HORIZONTE->Mg++:  1,2   |  ---    |  ---    |  ---
HORIZONTE->Na+:  0,3   |  ---    |  ---    |  ---
HORIZONTE->K+:  1,9   |  ---    |  ---    |  ---
HORIZONTE->H+:  2,7   |  ---    |  ---    |  ---
HORIZONTE->Suma de bases, S (meq/100g):  10,5  |  ---    |  ---    |  ---
HORIZONTE->Capacidad de intercambio catiónico, T (meq/100g):  13,2  |  20,1   |  ---    |  13
HORIZONTE->Porcentaje de sodio de intercambio (P.S.I.):  2,3   |  ---    |  ---    |  ---
HORIZONTE->Saturación con bases, S/T (%):  79,5  |  100    |  100    |  100
HORIZONTE->Mg++:  14,4  |  27,2   |  8      |  5,4
HORIZONTE->Na+:  12    |  112,8  |  188    |  122
HORIZONTE->K+:  6     |  1,4    |  1,6    |  1
HORIZONTE->HCO3-:  1,6   |  9,6    |  4,8    |  8
HORIZONTE->SO4=:  10,9  |  70,7   |  105,2  |  68,2
HORIZONTE->Cl-:  43,2  |  89     |  100    |  59,2
