--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........:  a     |  e      |  btn    |  bc     |  c
HORIZONTE->Profundidad de la muestra (cm):  0-23  |  23-34  |  34-52  |  52-75  |  75a+
HORIZONTE->Materia Orgánica (%):  2,41  |  0,69   |  0,52   |  0,19   |  ---
HORIZONTE->Carbono Orgánico (%):  1,4   |  0,4    |  0,3    |  0,11   |  ---
HORIZONTE->Nitrógeno total (%):  0,17  |  0,06   |  0,05   |  ---    |  ---
HORIZONTE->Relación C/N:  8,2   |  6,6    |  6      |  ---    |  ---
HORIZONTE->Arcilla, <2 μ (%):  11,7  |  6,2    |  18,9   |  11,5   |  9,2
HORIZONTE->Limo, 2-50 μ (%):  30,7  |  28,5   |  23,6   |  22,6   |  22,7
HORIZONTE->Arena muy fina, 50-100 μ (%):  39,3  |  50,7   |  38,6   |  51,5   |  51,6
HORIZONTE->Arena fina, 100-250 μ (%):  16,3  |  13,6   |  17,4   |  12,9   |  14,9
HORIZONTE->Arena media, 250-500 μ (%):  0,05  |  0      |  0      |  0,05   |  0,05
HORIZONTE->Arena gruesa, 500-1000 μ (%):  0,05  |  0      |  0      |  0,05   |  0,05
HORIZONTE->Arena muy gruesa, 1-2 mm (%):  0     |  0      |  0      |  0      |  0
HORIZONTE->Carbonatos (% CaCO3):  0     |  0      |  0      |  0      |  0
HORIZONTE->Equivalente de humedad (%):  18,5  |  13,3   |  22,6   |  19,6   |  14,7
HORIZONTE->pH en pasta:  5,7   |  7,1    |  7,2    |  7,4    |  7,4
HORIZONTE->pH en agua (1:2,5):  5,8   |  7,2    |  7,5    |  7,7    |  7,9
HORIZONTE->Mg++:  1,2   |  2,2    |  1,3    |  1,7    |  0,7
HORIZONTE->Na+:  0,2   |  0,7    |  2,4    |  2,3    |  3,8
HORIZONTE->K+:  0,9   |  1,5    |  0,7    |  1,5    |  1,5
HORIZONTE->H+:  3,1   |  0,8    |  ---    |  ---    |  ---
HORIZONTE->Suma de bases, S (meq/100g):  8     |  7,7    |  11,8   |  11,4   |  9,2
HORIZONTE->Capacidad de intercambio catiónico, T (meq/100g):  11,3  |  8,6    |  11,8   |  11,4   |  9,2
HORIZONTE->Porcentaje de sodio de intercambio (P.S.I.):  1,8   |  8,1    |  20,3   |  20,2   |  41,3
HORIZONTE->Saturación con bases, S/T (%):  70,8  |  89,5   |  100    |  100    |  100
