a     |  ac     |  c      |  ck
0-22  |  22-50  |  50-75  |  75a+
2.8   |  0.17   |  -      |
1.6   |  0.1    |  -      |
0.17  |  0.01   |  -      |
9.4   |  10     |  -      |
18.0  |  15.8   |  12.9   |  12.3
55.2  |  55.9   |  54.7   |  54.3
24.1  |  27.9   |  30.4   |  31.0
0.4   |  0.3    |  0.4    |  0.3
0     |  0      |  0.3    |  0
0.1   |  -      |  0.1    |  0.1
-     |  -      |  -      |
0     |  0      |  0      |  3.1
20.9  |  18.1   |  16.0   |  14.9
5.9   |  6.4    |  7.0    |  7.9
6.1   |  6.9    |  7.3    |  8.1
8.5   |  9.9    |  10.4   |
1.0   |  1.0    |  0.7    |
0.2   |  0.2    |  0.2    |  0.5
2.1   |  1.7    |  1.2    |  1.8
2.4   |  0.9    |  0.5    |
1.4   |  1.5    |  1.6    |  4.3
11.8  |  12.8   |  12.5   |
14.5  |  13.8   |  13.0   |  11.6
81    |  93     |  96     |
