a     |  bt     |  bc     |  ck
0-20  |  20-49  |  49-86  |  86a+
2.38  |  -      |  -      |
1.4   |  0.9    |  0.6    |  0.3
0.17  |  -      |  -      |
8.2   |  -      |  -      |
22.4  |  28.7   |  21.2   |  15.7
68.4  |  52.9   |  69.6   |  68.2
8.1   |  8.0    |  8.6    |  12.6
0.6   |  0.4    |  0.7    |  1.5
0.1   |  -      |  0.2    |  0.5
0.2   |  0.2    |  0.4    |  1.5
0.2   |  0.1    |  0.2    |  0.8
0     |  0      |  0      |  0
27.5  |  30.5   |  27.0   |  24.3
6.0   |  6.6    |  7.0    |  7.9
6.4   |  7.0    |  7.5    |  8.3
13.0  |  13.8   |  13.5   |
3.5   |  4.5    |  3.9    |
0.4   |  0.4    |  0.6    |  0.5
2.0   |  1.6    |  2.2    |  1.4
1.4   |  0.6    |  -      |
18.9  |  20.3   |  20.2   |
20.3  |  21.1   |  20.0   |  18.4
93    |  96     |  100    |
