a     |  bw     |  bc     |  ck
0-20  |  20-37  |  37-62  |  62a+
-     |  -      |  -      |
1.5   |  0.9    |  0.5    |  0.3
0.14  |  -      |  -      |
10.7  |  -      |  -      |
15.7  |  17.7   |  15.9   |  13.9
72.4  |  71.6   |  70.2   |  69.4
11.0  |  10.6   |  13.0   |  14.4
1.2   |  0.7    |  0.7    |  1.4
0.3   |  0.1    |  -      |  0.1
0.3   |  0.1    |  0.1    |  0.3
0.3   |  -      |  -      |
0     |  0      |  0      |  4.91
24.0  |  27.5   |  25.3   |  24.0
5.9   |  6.6    |  6.9    |  7.7
6.6   |  7.2    |  7.3    |  8.2
11.2  |  13.0   |  14.3   |
2.0   |  3.2    |  1.2    |
0.3   |  0.3    |  0.3    |  0.6
3.0   |  2.0    |  1.1    |  1.2
1.4   |  0.5    |  0.3    |
15.5  |  16.5   |  16.9   |
16.8  |  19.0   |  17.1   |  16.3
92    |  97     |  99     |
