a     |  ac     |  ck
0-23  |  23-55  |  55a+
1.9   |  -      |
1.1   |  -      |
0.11  |  -      |
10.0  |  -      |
20.2  |  17.4   |  15.5
59.3  |  61.2   |  59.8
18.3  |  21.1   |  23.4
0.7   |  0.3    |  0.5
0.2   |  0.1    |  0.2
0.1   |  0.1    |  0.1
-     |  -      |
0     |  0      |  4.7
21.1  |  19.6   |  18.7
-     |  -      |
6.7   |  7.2    |  8.0
12.9  |  14.6   |
0.9   |  1.1    |
0.4   |  0.4    |  0.4
1.5   |  1.2    |  0.9
1.0   |  0.7    |
15.7  |  17.3   |
16.7  |  18.0   |  17.1
94.0  |  96.1   |  100
