a     |  bw     |  c      |  ck
0-23  |  23-48  |  48-95  |  95a+
2.2   |  1.7    |  -      |
1.3   |  1.0    |  -      |
0.13  |  0.12   |  -      |
10.0  |  8.3    |  -      |
20.2  |  21.5   |  15.2   |  14.6
59.1  |  54.0   |  59.1   |  59.9
19.9  |  22.4   |  25.7   |  26.0
0.7   |  0.3    |  0.9    |  0.9
-     |  -      |  -      |
-     |  -      |  -      |
-     |  -      |  -      |
0     |  0      |  0      |  4.2
22.1  |  24.4   |  19.9   |  19.1
5.6   |  6.0    |  6.6    |  8.0
6.0   |  6.3    |  7.1    |  8.2
14.0  |  16.1   |  14.3   |
0.9   |  0.7    |  1.6    |
0.2   |  0.1    |  0.1    |  0.1
2.4   |  2.0    |  1.6    |  1.5
2.5   |  1.7    |  0.8    |
1     |  0.5    |  0.5    |  0.7
17.5  |  18.9   |  17.6   |
19.9  |  20.6   |  18.3   |  14.5
88    |  92     |  96     |
