a     |  ac     |  c
0-20  |  20-55  |  55a+
0.4   |  0.3    |
0.2   |  0.2    |
0.02  |  -      |
9.6   |  -      |
5.0   |  8.5    |  2.9
11.6  |  15.3   |  10.2
3.3   |  3.0    |  3.5
7.1   |  6.5    |  7.3
26.6  |  24.4   |  27.7
37.4  |  34.2   |  39.5
7.7   |  7.1    |  8.2
0     |  0      |  0
6.5   |  8.5    |  4.9
-     |  -      |
6.5   |  6.9    |  8.2
3.0   |  5.1    |
0.4   |  0.8    |
0.1   |  0.1    |  0.1
0.2   |  0.2    |  0.1
0.5   |  0.4    |
3.7   |  6.2    |
4.2   |  6.6    |  2.1
87.7  |  93.6   |  100
