dss_MONTEALTO.psv ->> ID..........................: 515
dss_MONTEALTO.psv ->> CLASIFICACION...............: Haplustol éntico
dss_MONTEALTO.psv ->> SERIE.......................: MONTE ALTO (MteAl)
dss_MONTEALTO.psv ->> UBICACION...................: 5,9 Km al SSE de la localidad de Etruria, departamento General San martín
dss_MONTEALTO.psv ->> PROVINCIA...................: CORDOBA
dss_MONTEALTO.psv ->> LATITUD.....................: S315800
dss_MONTEALTO.psv ->> LONGITUD....................: O631100
dss_MONTEALTO.psv ->> ALTITUD.....................: 145
dss_MONTEALTO.psv ->> PENDIENTE...................: FALTA!
dss_MONTEALTO.psv ->> DRENAJE.....................: FALTA!
dss_MONTEALTO.psv ->> ESCURRIMIENTO...............: FALTA!
dss_MONTEALTO.psv ->> PERMEABILIDAD...............: FALTA!
dss_MONTEALTO.psv ->> TIPO DE SUELO...............: FRANCA GRUESA, MIXTA, TÉRMICA
dss_MONTEALTO.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_MONTEALTO.psv ->> HORIZONTE->NOMBRE(S)........: a | ac | c | ck
dss_MONTEALTO.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-22 | 22-50 | 50-75 | 75a+
dss_MONTEALTO.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 2.8 | 0.17 | - | 
dss_MONTEALTO.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1.6 | 0.1 | - | 
dss_MONTEALTO.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.17 | 0.01 | - | 
dss_MONTEALTO.psv ->> HORIZONTE->RELACIÓN C/N.....: 9.4 | 10 | - | 
dss_MONTEALTO.psv ->> HORIZONTE->ARCILLA 2 (%)....: 18.0 | 15.8 | 12.9 | 12.3
dss_MONTEALTO.psv ->> HORIZONTE->LIMO 2-50 (%)....: 55.2 | 55.9 | 54.7 | 54.3
dss_MONTEALTO.psv ->> HORIZONTE->AMF 50-100 (%)...: 24.1 | 27.9 | 30.4 | 31.0
dss_MONTEALTO.psv ->> HORIZONTE->AF 100-250 (%)...: 0.4 | 0.3 | 0.4 | 0.3
dss_MONTEALTO.psv ->> HORIZONTE->AM 250-500 (%)...: 0 | 0 | 0.3 | 0
dss_MONTEALTO.psv ->> HORIZONTE->AG 500-1000 (%)..: 0.1 | - | 0.1 | 0.1
dss_MONTEALTO.psv ->> HORIZONTE->AMG 1-2 mm (%)...: - | - | - | 
dss_MONTEALTO.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0 | 0 | 0 | 3.1
dss_MONTEALTO.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 20.9 | 18.1 | 16.0 | 14.9
dss_MONTEALTO.psv ->> HORIZONTE->PH PASTA.........: 5.9 | 6.4 | 7.0 | 7.9
dss_MONTEALTO.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6.1 | 6.9 | 7.3 | 8.1
dss_MONTEALTO.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 8.5 | 9.9 | 10.4 | 
dss_MONTEALTO.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1.0 | 1.0 | 0.7 | 
dss_MONTEALTO.psv ->> HORIZONTE->CI ME/100G-Na +..: 0.2 | 0.2 | 0.2 | 0.5
dss_MONTEALTO.psv ->> HORIZONTE->CI ME/100G-K +...: 2.1 | 1.7 | 1.2 | 1.8
dss_MONTEALTO.psv ->> HORIZONTE->CI ME/100G-H +...: 2.4 | 0.9 | 0.5 | 
dss_MONTEALTO.psv ->> HORIZONTE->Na+ % DEL VALOR T: 1.4 | 1.5 | 1.6 | 4.3
dss_MONTEALTO.psv ->> HORIZONTE->SUM.B. ME/100G(S): 11.8 | 12.8 | 12.5 | 
dss_MONTEALTO.psv ->> HORIZONTE->CIC ME/100G(T)...: 14.5 | 13.8 | 13.0 | 11.6
dss_MONTEALTO.psv ->> HORIZONTE->SAT.B % (S/T)....: 81 | 93 | 96 | 
