dss_PUERTACOLORADA.psv ->> ID..........................: 518
dss_PUERTACOLORADA.psv ->> CLASIFICACION...............: Haplustol éntico
dss_PUERTACOLORADA.psv ->> SERIE.......................: PUERTA COLORADA (PtaCol)
dss_PUERTACOLORADA.psv ->> UBICACION...................: 14 Km al SO del paraje Las Peñas Sur, departamento Río Cuarto
dss_PUERTACOLORADA.psv ->> PROVINCIA...................: CORDOBA
dss_PUERTACOLORADA.psv ->> LATITUD.....................: S323600
dss_PUERTACOLORADA.psv ->> LONGITUD....................: O641400
dss_PUERTACOLORADA.psv ->> ALTITUD.....................: FALTA!
dss_PUERTACOLORADA.psv ->> PENDIENTE...................: FALTA!
dss_PUERTACOLORADA.psv ->> DRENAJE.....................: FALTA!
dss_PUERTACOLORADA.psv ->> ESCURRIMIENTO...............: FALTA!
dss_PUERTACOLORADA.psv ->> PERMEABILIDAD...............: FALTA!
dss_PUERTACOLORADA.psv ->> TIPO DE SUELO...............: FRANCA GRUESA, MIXTA, TÉRMICA
dss_PUERTACOLORADA.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO A PARDO OSCURO
dss_PUERTACOLORADA.psv ->> HORIZONTE->NOMBRE(S)........: ap | a | ac | c | ck
dss_PUERTACOLORADA.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-13 | 13-23 | 23-43 | 43-74 | 74a+
dss_PUERTACOLORADA.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 2.72 | 2.04 | 1.02 | - | 
dss_PUERTACOLORADA.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1.6 | 1.2 | 0.6 | - | 
dss_PUERTACOLORADA.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.11 | 0.09 | 0.07 | - | 
dss_PUERTACOLORADA.psv ->> HORIZONTE->RELACIÓN C/N.....: 14 | 13 | 9 | - | 
dss_PUERTACOLORADA.psv ->> HORIZONTE->ARCILLA 2 (%)....: 13.7 | 14.8 | 18.6 | 15.6 | 14.1
dss_PUERTACOLORADA.psv ->> HORIZONTE->LIMO 2-50 (%)....: 39.1 | 37.9 | 40.9 | 42.3 | 43.0
dss_PUERTACOLORADA.psv ->> HORIZONTE->AMF 50-100 (%)...: 32.4 | 33.5 | 31.4 | 34.7 | 36.3
dss_PUERTACOLORADA.psv ->> HORIZONTE->AF 100-250 (%)...: 0.5 | 1.5 | 0.5 | 0.2 | 0.4
dss_PUERTACOLORADA.psv ->> HORIZONTE->AM 250-500 (%)...: 4.0 | 3.4 | 1.9 | 1.6 | 1.4
dss_PUERTACOLORADA.psv ->> HORIZONTE->AG 500-1000 (%)..: 6.9 | 5.8 | 3.7 | 4.1 | 2.5
dss_PUERTACOLORADA.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 2.0 | 1.5 | 2.1 | 2.3 | 1.5
dss_PUERTACOLORADA.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0 | 0 | 0 | 0 | 4.9
dss_PUERTACOLORADA.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 13 | 16.7 | 19 | 16.6 | 15.9
dss_PUERTACOLORADA.psv ->> HORIZONTE->PH PASTA.........: 6.0 | 6.2 | 6.6 | 6.7 | 7.8
dss_PUERTACOLORADA.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6.2 | 6.4 | 6.9 | 6.9 | 8.1
dss_PUERTACOLORADA.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 8.2 | 9.5 | 12.5 | 12.2 | 
dss_PUERTACOLORADA.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1.2 | 1.3 | 1.5 | 0.7 | 
dss_PUERTACOLORADA.psv ->> HORIZONTE->CI ME/100G-Na +..: 0.1 | 0.1 | 0.1 | 0.1 | 0.1
dss_PUERTACOLORADA.psv ->> HORIZONTE->CI ME/100G-K +...: 0.9 | 0.9 | 0.9 | 0.8 | 0.6
dss_PUERTACOLORADA.psv ->> HORIZONTE->CI ME/100G-H +...: 1.6 | 1.1 | 0.7 | 0.7 | 
dss_PUERTACOLORADA.psv ->> HORIZONTE->SUM.B. ME/100G(S): 10.4 | 11.8 | 15.0 | 13.8 | 
dss_PUERTACOLORADA.psv ->> HORIZONTE->CIC ME/100G(T)...: 12.1 | 13.2 | 15.9 | 14.5 | 10.4
dss_PUERTACOLORADA.psv ->> HORIZONTE->SAT.B % (S/T)....: 86 | 89 | 94 | 95 | 
