a     |  2a     |  2ac    |  2c
0-25  |  25-50  |  50-80  |  80a+
2.4   |  1.0    |  0.8    |
1.4   |  0.6    |  0.5    |
0.11  |  0.05   |  -      |
12.6  |  11.8   |  -      |
18.9  |  12.4   |  11.8   |  11.8
41.3  |  28.6   |  29.8   |  29.6
13.0  |  13.8   |  14.1   |  13.4
10.1  |  13.9   |  14.1   |  13.8
6.6   |  9.1    |  9.0    |  8.8
7.4   |  12.6   |  12.9   |  12.5
2.6   |  8.2    |  8.3    |  7.9
0     |  0      |  0      |  0
22.2  |  15.5   |  14.0   |  15.8
-     |  -      |  -      |
6.0   |  6.4    |  6.6    |  6.7
7.6   |  6.1    |  6.6    |  7.3
1.5   |  1.1    |  1.4    |  1.8
0.1   |  0.1    |  0.1    |  0.1
0.9   |  0.4    |  0.4    |  0.4
2.4   |  1.4    |  1.1    |  1.1
10.2  |  7.7    |  8.5    |  9.6
12.6  |  9.1    |  9.6    |  10.7
80.7  |  85.1   |  88.2   |  89.9
