dss_SOCONCHO.psv ->> ID..........................: 520
dss_SOCONCHO.psv ->> CLASIFICACION...............: Argiustol típico
dss_SOCONCHO.psv ->> SERIE.......................: SOCONCHO (Soco)
dss_SOCONCHO.psv ->> UBICACION...................: 7,6 km al SE de Las Bajadas, departamento Calamuchita
dss_SOCONCHO.psv ->> PROVINCIA...................: CORDOBA
dss_SOCONCHO.psv ->> LATITUD.....................: S320900
dss_SOCONCHO.psv ->> LONGITUD....................: O641700
dss_SOCONCHO.psv ->> ALTITUD.....................: 329
dss_SOCONCHO.psv ->> PENDIENTE...................: FALTA!
dss_SOCONCHO.psv ->> DRENAJE.....................: FALTA!
dss_SOCONCHO.psv ->> ESCURRIMIENTO...............: FALTA!
dss_SOCONCHO.psv ->> PERMEABILIDAD...............: FALTA!
dss_SOCONCHO.psv ->> TIPO DE SUELO...............: FRANCA FINA, MIXTA, TÉRMICA
dss_SOCONCHO.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_SOCONCHO.psv ->> HORIZONTE->NOMBRE(S)........: a | bt | bc | c
dss_SOCONCHO.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-22 | 22-52 | 52-80 | 80a+
dss_SOCONCHO.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 1.5 | 0.7 | - | 
dss_SOCONCHO.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 0.9 | 0.4 | - | 
dss_SOCONCHO.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.09 | 0.04 | - | 
dss_SOCONCHO.psv ->> HORIZONTE->RELACIÓN C/N.....: 10.1 | 10.0 | - | 
dss_SOCONCHO.psv ->> HORIZONTE->ARCILLA 2 (%)....: 17.0 | 21.9 | 14.9 | 14.1
dss_SOCONCHO.psv ->> HORIZONTE->LIMO 2-50 (%)....: 45.8 | 43.3 | 48.3 | 45.1
dss_SOCONCHO.psv ->> HORIZONTE->AMF 50-100 (%)...: 12.5 | 12.2 | 12.4 | 13.8
dss_SOCONCHO.psv ->> HORIZONTE->AF 100-250 (%)...: 10.4 | 10.2 | 10.3 | 11.4
dss_SOCONCHO.psv ->> HORIZONTE->AM 250-500 (%)...: 7.5 | 7.3 | 7.7 | 8.3
dss_SOCONCHO.psv ->> HORIZONTE->AG 500-1000 (%)..: 5.1 | 4.9 | 5.1 | 5.8
dss_SOCONCHO.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 0.8 | 0.7 | 0.8 | 1.0
dss_SOCONCHO.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0 | 0 | 0 | 0
dss_SOCONCHO.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 18.1 | 18.6 | 17.5 | 16.5
dss_SOCONCHO.psv ->> HORIZONTE->PH PASTA.........: - | - | - | 
dss_SOCONCHO.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6.6 | 7.1 | 7.3 | 7.6
dss_SOCONCHO.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 7.6 | 10.0 | 9.6 | 9.6
dss_SOCONCHO.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1.6 | 2.4 | 2.7 | 2.3
dss_SOCONCHO.psv ->> HORIZONTE->CI ME/100G-Na +..: 0.1 | 0.1 | 0.1 | 0.1
dss_SOCONCHO.psv ->> HORIZONTE->CI ME/100G-K +...: 0.8 | 0.6 | 0.5 | 0.5
dss_SOCONCHO.psv ->> HORIZONTE->CI ME/100G-H +...: 0.9 | 0.7 | 0.5 | 
dss_SOCONCHO.psv ->> HORIZONTE->Na+ % DEL VALOR T: 11.0 | 13.8 | 13.4 | 12.5
dss_SOCONCHO.psv ->> HORIZONTE->SUM.B. ME/100G(S): 10.1 | 13.1 | 12.9 | 12.5
dss_SOCONCHO.psv ->> HORIZONTE->CIC ME/100G(T)...: 11.0 | 13.8 | 13.4 | 12.5
dss_SOCONCHO.psv ->> HORIZONTE->SAT.B % (S/T)....: 91.6 | 94.9 | 96.3 | 100
