dss_ESTANCIAANAMARÍA.psv ->> ID..........................: 507
dss_ESTANCIAANAMARÍA.psv ->> CLASIFICACION...............: Haplustol típico
dss_ESTANCIAANAMARÍA.psv ->> SERIE.......................: ESTANCIA ANA MARÍA (EstAM)
dss_ESTANCIAANAMARÍA.psv ->> UBICACION...................: 8 Km al Oeste del paraje Las Gamas, departamento Río Cuarto
dss_ESTANCIAANAMARÍA.psv ->> PROVINCIA...................: CORDOBA
dss_ESTANCIAANAMARÍA.psv ->> LATITUD.....................: S322900
dss_ESTANCIAANAMARÍA.psv ->> LONGITUD....................: O641200
dss_ESTANCIAANAMARÍA.psv ->> ALTITUD.....................: 510
dss_ESTANCIAANAMARÍA.psv ->> PENDIENTE...................: FALTA!
dss_ESTANCIAANAMARÍA.psv ->> DRENAJE.....................: FALTA!
dss_ESTANCIAANAMARÍA.psv ->> ESCURRIMIENTO...............: FALTA!
dss_ESTANCIAANAMARÍA.psv ->> PERMEABILIDAD...............: FALTA!
dss_ESTANCIAANAMARÍA.psv ->> TIPO DE SUELO...............: FRANCA FINA A FRANCA GRUESA, MIXTA, TÉRMICA
dss_ESTANCIAANAMARÍA.psv ->> COLOR ......................: PARDO GRISÁCEO MUY OSCURO
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->NOMBRE(S)........: a | bw | c | ck
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-30 | 30-52 | 52-92 | 92a+
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 3.3 | 1.6 | - | 
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 3.1 | 0.9 | - | 
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.25 | - | - | 
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->RELACIÓN C/N.....: 12.4 | - | - | 
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->ARCILLA 2 (%)....: 28.3 | 21.1 | 17.4 | 15.4
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->LIMO 2-50 (%)....: 65.3 | 71.9 | 70.7 | 70.8
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->AMF 50-100 (%)...: 4.8 | 4.9 | 6.9 | 6.8
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->AF 100-250 (%)...: 2.7 | 2.8 | 3.6 | 4.7
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->AM 250-500 (%)...: 0.7 | 0.5 | 0.7 | 0.4
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->AG 500-1000 (%)..: 1.1 | 1.1 | 1.4 | 1.0
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 0.2 | 0.2 | 0.4 | 0.2
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0 | 0 | 0 | 4.9
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 29.9 | 28.3 | 26.7 | 23.9
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->PH PASTA.........: 6.1 | 7.1 | 7.3 | 8.0
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6.4 | 7.4 | 7.7 | 8.4
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 12.7 | 14.4 | 14.0 | 
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1.1 | 1.7 | 1.3 | 
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->CI ME/100G-Na +..: 1.3 | 0.8 | 1.5 | 0.3
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->CI ME/100G-K +...: 1.3 | 0.5 | 0.6 | 1.7
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->CI ME/100G-H +...: 1.4 | 0.2 | - | 
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->SUM.B. ME/100G(S): 16.4 | 17.4 | 17.4 | 
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->CIC ME/100G(T)...: 17.8 | 17.6 | 17.4 | 13.7
dss_ESTANCIAANAMARÍA.psv ->> HORIZONTE->SAT.B % (S/T)....: 92.1 | 98.9 | 100 | 100
