a     |  bw     |  bc     |  ck
0-21  |  21-43  |  43-74  |  74a+
2.6   |  1.4    |  -      |
1.50  |  0.80   |  -      |
0.19  |  -      |  -      |
7.9   |  -      |  -      |
13.8  |  14.1   |  9.2    |  9.8
51.8  |  52.8   |  56.4   |  51.7
31.3  |  28.3   |  29.3   |  34.1
0.2   |  2.0    |  1.4    |  1.6
0.3   |  0.1    |  0.2    |  0.2
0.4   |  0.3    |  0.3    |  0.2
0.3   |  0.2    |  -      |  0.3
0.0   |  0.0    |  0.0    |  5.9
17.6  |  26.1   |  15.5   |  16.2
6.4   |  0.0    |  7.4    |  8.0
7.0   |  0.0    |  7.6    |  8.4
8.6   |  9.4    |  10.0   |
0.8   |  1.2    |  1.1    |
0.4   |  0.4    |  0.2    |  0.3
1.7   |  1.8    |  1.4    |  1.0
1.2   |  0.8    |  -      |
3.1   |  2.9    |  1.7    |  2.8
11.5  |  12.8   |  12.7   |  1.3
12.8  |  13.6   |  11.9   |  10.8
89.8  |  94.1   |  106.7  |  12.0
