a     |  bt1    |  bt2    |  bc
0-21  |  21-50  |  50-70  |  70a+
-     |  -      |  -      |
1.8   |  1.7    |  1.3    |  1.0
-     |  -      |  -      |
-     |  -      |  -      |
26.8  |  40.0   |  43.8   |  37.2
70.1  |  57.9   |  54.0   |  57.7
3.0   |  2.1    |  2.1    |  5.0
0.7   |  0.3    |  0.4    |  0.6
-     |  -      |  -      |
-     |  -      |  -      |  0.2
-     |  -      |  -      |
0     |  0      |  0      |  0
30.5  |  35.9   |  36.5   |  34.5
6.2   |  6.3    |  6.9    |  7.0
6.6   |  6.6    |  7.3    |  7.4
15.3  |  16.2   |  17.2   |  15.7
3.0   |  3.5    |  5.7    |  3.7
0.4   |  0.4    |  0.4    |  0.4
1.6   |  1.4    |  1.9    |  1.8
1.2   |  1.2    |  0.4    |  0.2
20.3  |  21.5   |  25.2   |  21.6
21.7  |  22.9   |  25.8   |  21.7
94    |  94     |  98     |  99
