a     |  bt     |  bc     |  ck
0-27  |  27-54  |  54-82  |  82a+
2.41  |  0.86   |  0.51   |
1.4   |  0.5    |  0.3    |
0.15  |  0.06   |  -      |
9.3   |  8.3    |  -      |
15.2  |  21.7   |  17.7   |  14.6
71.6  |  61.5   |  61.6   |  64.3
12.8  |  16.6   |  19.1   |  17.1
0.9   |  0.7    |  1.7    |  2.7
0.2   |  0.3    |  0.3    |  0.3
0.3   |  0.4    |  0.6    |  0.4
-     |  -      |  -      |  0.2
0     |  0      |  0      |  5.4
24.4  |  19.9   |  18.3   |  18.1
5.8   |  6.8    |  7.0    |  8.0
6.0   |  7.0    |  7.3    |  8.3
10.2  |  13.1   |  12.9   |
0.7   |  1.0    |  1.2    |
0.1   |  0.1    |  0.2    |  0.2
2.4   |  1.7    |  1.0    |  1.8
2.7   |  0.7    |  0.4    |
13.4  |  15.7   |  15.3   |
16.0  |  16.5   |  15.6   |  12.0
84    |  95     |  98     |
