a     |  bt     |  bc     |  c
0-22  |  22-52  |  52-80  |  80a+
1.5   |  0.7    |  -      |
0.9   |  0.4    |  -      |
0.09  |  0.04   |  -      |
10.1  |  10.0   |  -      |
17.0  |  21.9   |  14.9   |  14.1
45.8  |  43.3   |  48.3   |  45.1
12.5  |  12.2   |  12.4   |  13.8
10.4  |  10.2   |  10.3   |  11.4
7.5   |  7.3    |  7.7    |  8.3
5.1   |  4.9    |  5.1    |  5.8
0.8   |  0.7    |  0.8    |  1.0
0     |  0      |  0      |  0
18.1  |  18.6   |  17.5   |  16.5
-     |  -      |  -      |
6.6   |  7.1    |  7.3    |  7.6
7.6   |  10.0   |  9.6    |  9.6
1.6   |  2.4    |  2.7    |  2.3
0.1   |  0.1    |  0.1    |  0.1
0.8   |  0.6    |  0.5    |  0.5
0.9   |  0.7    |  0.5    |
11.0  |  13.8   |  13.4   |  12.5
10.1  |  13.1   |  12.9   |  12.5
11.0  |  13.8   |  13.4   |  12.5
91.6  |  94.9   |  96.3   |  100
