30568 | 30569 | 30570
I     | II    | III
2-19  | 23-35 | 40-170
2.10  | 0.41  | 0.10
1.22  | 0.24  | 0.06
0.236 | -     | -
5     | -     | -
33.2  | 19.8  | 7.5
26.9  | 12.4  | 5.7
50.3  | 51.5  | 22.5
10.7  | 20.6  | 38.7
3.6   | 6.5   | 25.0
2.2   | 1.6   | 6.3
-     | -     | -
-     | -     |
-     | -     | -
-     | -     | -
33.0  | 20.5  | 7.9
150   | 112   | 112
5.0   | 6.1   | 6.5
5.5   | 6.7   | 6.9
2,5)
16.9  | 21.3  | 35.7
8.5   | 5.2   | 2.2
4.3   | 5.5   | 1.6
0.3   | 0.2   | 0.1
17    | 30    | 29
66    | 49    | 41
27.9  | 20.4  | 7.2
8.7   | 3.7   | 2.2
25.8  | 18.2  | 5.6
100   | 100   | 100
76    | 85    | 76
2.0   | 1.1   | 4.4
1.04  | 1.02  | 1.01
