- | -    | 356  | 488  | 422  | 579  | nd | nd
- | -    | -    | -    | -    | -    | -  |
d | Ca++ | 21.4 | 35.0 | 34.8 | 45.0 | ND | ND
e | -    | -    | -    | -    | -    | -  |
- | Mg++ | 2.4  | 2.8  | 1.2  | 4.6  | ND | ND
c | -    | -    | -    | -    | -    | -  |
a | K+   | 1.1  | 1.5  | 1.3  | 1.2  | ND | ND
m | -    | -    | -    | -    | -    | -  |
b | Na+  | 0.4  | 1.0  | 1.3  | 1.2  | ND | ND
i | -    | -    | -    | -    | -    | -  |
o | H+   | 6.5  | 6.5  | ND   | ND   | ND | ND
- | -    | 1.1  | 2.0  | 3.1  | 2.1  | ND | ND
