-     |  -      | -      | -       |
-     |  -      | -      | -       |
A1    |  IIB21t | IIB22t | IIIB23t | IVB3
5-12  |  20-40  | 65-85  | 98-112  | 120-140
4.64  |  0.59   | -      | -       | -
2.69  |  0.34   | -      | -       | -
0.247 |  0.048  | -      | -       | -
11    |  7      | -      | -       | -
32.4  |  47.8   | 49.0   | 55.0    | 40.9
22.7  |  23.1   | 17.8   | 16.4    | 20.8
46.6  |  39.1   | 37.3   | 36.0    | 41.6
7.3   |  6.4    | 6.2    | 4.2     | 9.6
4.9   |  2.4    | 2.5    | 2.2     | 3.6
6.5   |  3.3    | 3.4    | 2.2     | 3.3
2.3   |  0.6    | 1.3    | 0.4     | 1.0
-     |  -      | -      | -       | -
-     |  -      | -      | -       | -
-     |  -      | -      | -       |
0     |  0.4    | 0.3    | vest.   | vest.
32.1  |  55.4   | 60.1   | 61.5    | 33.2
2274  |  1563   | 2711   | 1807    | 2259
5.1   |  7.7    | 7.7    | 7.6     | 7.6
6.5   |  9.2    | 9.0    | 9.0     | 8.9
4.8   |  6.6    | 6.8    | 6.5     | 6.3
-     |  -      | -      | -       | -
4.8   |  -      | -      | -       | -
0.7   |  6.6    | 7.2    | 6.8     | 4.5
0.6   |  1.1    | 1.3    | 1.5     | 1.2
11.6  |  -      | -      | -       | -
3     |  25     | 24     | 19      | 18
15.1  |  -      | -      | -       | -
22.8  |  26.4   | 30.5   | 35.6    | 25.0
66    |  -      | -      | -       | -
Tosca  Ca  %
