-     | -     | -     | -     |
706   | 707   | 708   | 709   | 710
A11   | A12   | B21t  | B22t  | B3ca     (g)
00-13 | 20-30 | 41-49 | 63-75 | 100-120
4,55  | 2,13  | 1,48  | 1,10  | 0,22
2,65  | 1,24  | 0,86  | 0,64  | 0,13
0,231 | 0,107 | 0,073 | 0,054 | 0,018
11    | 12    | 12    | 12    | 7
-     | -     | -     | -     |
-     | -     | -     | -     |
0,0   | 0,0   | 0,0   | 0,0   | 0,0
5,3   | 5,7   | 6,3   | 7,2   | 7,8
-     | -     | -     | -     | -
-     | -     | -     | -     |
29,30 | 29,10 | 31,40 | 39,60 | 36,30
1,4   | 1,0   | 1,3   | 2,0   | 1,7
