-     | -     | -     | -      |
5436  | 5437  | 5438  | 5439   | 5440
Ap    | B21t  | B22t  | B3     | Cca
05-25 | 45-60 | 75-85 | 94-105 | 125+
3.55  | 1.56  | 0.45  | 0.15   | 0.08
0.16  | 0.09  | 0.05  | 0.04   | 0.02
13    | 10    | 6     | -      | -
26.40 | 47.50 | 40.90 | 31.00  | 52.40
33.80 | 25.40 | 26.90 | 35.40  | 30.40
68.31 | 48.99 | 54.66 | 64.40  | 43.47
5.08  | 3.32  | 4.24  | 4.42   | 4.00
0.20  | 0.19  | 0.20  | 0.18   | 0.14
-     | -     | -     | -      | -
-     | -     | -     | -      | -
-     | -     | -     | -      |
-     | -     | -     | -      | 10.7
5.5   | 6.4   | 6.9   | 7.2    | 7.8
6.1   | 6.3   | 7.0   | 7.0    | 8.1
27.40 | 35.80 | 36.10 | 35.80  | 34.90
20.00 | 26.80 | 26.70 | 25.80  | 27.70
-     | -     | -     | -      |
1.10  | 2.80  | 4.50  | 5.30   | 4.00
-     | -     | -     | -      |
2.22  | 1.94  | 2.33  | 2.26   | 1.80
-     | -     | -     | -      |
0.70  | 0.57  | 1.00  | 0.86   | 0.70
-     | -     | -     | -      |
3.10  | 2.90  | 1.50  | 0.90   | ND
-     | -     | -     | -      |
28.09 | 42.48 | 37.76 | 35.72  | 31.96
