-     | -     | -     | -     | -     | -     |
A11   | A12   | B1    | B21t  | B22t  | B3ca  | Cca
00-10 | 10-23 | 23-30 | 30-45 | 45-66 | 66-95 | 95     (+)
4,82  | 3,37  | 2,41  | 1,72  | 1,37  | 0,76  | 0,34
2,80  | 1,96  | 1,40  | 1,00  | 0,80  | 0,44  | 0,20
0,21  | 0,14  | 0,10  | 0,07  | 0,06  | 0,03  | 0,02
13    | 14    | 14    | 14    | 13    | 14    | 10
0,02  | 0,04  | 0,09  | 0,01  | 0,11  | 0,07  | 0,06
0,0   | 0,0   | 0,0   | 0,0   | 0,0   | 9,07  | 10,08
-     | -     | -     | -     | -     | -     |
-     | -     | -     | -     | -     | -     |
-     | -     | -     | -     | -     | -     |
5,8   | 5,7   | 5,9   | 6,3   | 6,3   | 7,3   | 7,3
5,6   | 5,1   | 5,3   | 5,6   | 5,9   | 7,1   | 7,1
-     | -     | -     | -     | -     | -     |
-     | -     | -     | -     | -     | -     |
-     | -     | -     | -     | -     | -     |
0,97  | 3,11  | 3,89  | 3,78  | 5,56  | ND    | ND
ND    | ND    | ND    | ND    | ND    | ND    | 1,95
0,08  | 0,16  | 0,20  | 0,24  | 0,30  | 0,28  | 0,26
21,50 | 18,61 | 23,17 | 28,21 | 34,09 | ND    | ND
5,02  | 3,94  | 5,61  | 2,2   | 6,45  | ND    | ND
26,52 | 22,55 | 28,78 | 30,41 | 40,55 | 38,13 | 36,5
81    | 82    | 90    | 92    | 84    | ND    | ND
-     | -     | -     | -     | -     | -     |
-     | -     | -     | -     | -     | -     | 5,3
6,7   | 4,9   | 4,9   | 3,4   | 3,4   | 3,4   | 2,4
