-     | -     | -     | -      | -     |
3155  | 3156  | 3157  | 3158   | 3159  | 3160
A2    | B1    | B21t  | B22tca | B3ca  | Cca
02-10 | 13-24 | 28-37 | 45-55  | 62-75 | 85-105
4.23  | 2.24  | 2.09  | 1.93   | 0.83  | 0.24
0.9   | 0.12  | 0.11  | 0.08   | 0.05  | 0.02
13    | 11    | 11    | 14     | 10    | 7
32.62 | 46.19 | 56.81 | 49.32  | 43.10 | 39.45
33.42 | 28.32 | 27.65 | 24.75  | 32.82 | 31.59
66.21 | 52.87 | 42.73 | 50.20  | 56.25 | 56.27
0.16  | 0.17  | 0.05  | 0.08   | 0.11  | 0.11
0.95  | 0.75  | 0.40  | 0.39   | 0.49  | 4.11
0.00  | 0.00  | 0.00  | 0.00   | 0.00  | 0.00
0.06  | 0.02  | 0.01  | 0.01   | 0.05  | 0.06
0.0   | 0.0   | 0.0   | 4.7    | 9.3   | 8.1
6.3   | 7.2   | 7.8   | 8.0    | 8.0   | 7.9
5.3   | 6.2   | 6.9   | 7.1    | 7.2   | 7.2
35.10 | 39.58 | 52.54 | 51.22  | 45.49 | 44.25
20.99 | 31.73 | 32.69 | N.D.   | N.D.  | N.D.
-     | -     | -     | -      | -     |
2.52  | 3.58  | 10.25 | N.D.   | N.D.  | N.D.
-     | -     | -     | -      | -     |
0.10  | 0.12  | 0.14  | 0.14   | 0.12  | 0.05
-     | -     | -     | -      | -     |
1.00  | 2.02  | 2.47  | 3.37   | 2.85  | 5.47
-     | -     | -     | -      | -     |
10.49 | 2.13  | 7.09  | N.D.   | N.D.  | N.D.
2.85  | 5.10  | 4.70  | 6.58   | 6.27  | 12.36
-     | -     | -     | -      | -     |
32.55 | 45.10 | 49.90 | 47.77  | 39.41 | 38.29
4.3   | 2.4   | 1.6   | 1.0    | N.D.  | N.D.
