- | -    | 2769  | 3480  | 3520  | 3520  | 3141  | 2610
- | -    | -     | -     | -     | -     | -     |
d | Ca++ | 23.20 | 32.80 | N.D.  | N.D.  | N.D.  | N.D.
e | -    | -     | -     | -     | -     | -     |
- | Mg++ | 0.61  | 0.80  | N.D.  | N.D.  | N.D.  | N.D.
c | -    | -     | -     | -     | -     | -     |
a | K+   | 0.36  | 0.56  | 0.72  | 0.78  | 0.80  | 0.75
m | -    | -     | -     | -     | -     | -     |
b | Na+  | 1.67  | 3.67  | 5.87  | 5.75  | 8.00  | 7.07
i | -    | -     | -     | -     | -     | -     |
o | H+   | -     | -     | -     | -     | -     | -
- | -    | 6.03  | 10.55 | 16.68 | 16.91 | 25.47 | 27.09
