-   | -     | -     | -     |
-   | 858   | 859   | -     | 860
Ap* | A1    | A/C   | I/II* | IIg
-   | 20-35 | 54-69 | -     | 97-110
-   | 0.8   | 0.7   | -     | 0.8
-   | 0.510 | 0.041 | -     | 0.046
-   | 9     | 10    | -     | 10
-   | 4.8   | 6.3   | -     | 15.0
-   | 3.2   | 2.6   | -     | 7.5
-   | 13.8  | 12.6  | -     | 19.3
-   | 5.4   | 5.9   | -     | 5.5
-   | 42.3  | 42.2  | -     | 33.5
-   | 32.6  | 32.0  | -     | 25.9
-   | 1.1   | 1.0   | -     | 0.8
-   | -     | -     | -     | -
-   | 0.0   | 0.0   | -     | 0.0
-   | 6.0   | 5.6   | -     | 5.2
-   | 5.6   | 5.5   | -     | 4.7
-   | -     | -     | -     | -
-   | 7.3   | 9.8   | -     | 20.6
-   | 4.8   | 7.0   | -     | 13.6
-   | -     | -     | -     |
-   | 1.2   | 1.4   | -     | 3.1
-   | -     | -     | -     |
-   | 0.1   | 0.2   | -     | 0.3
-   | -     | -     | -     |
-   | 0.3   | 0.2   | -     | 0.2
-   | -     | -     | -     |
-   | 1.3   | 1.3   | -     | 2.9
-   | 4.1   | 5.1   | -     | 1.0
-   | 6.9   | 7.3   | -     | 17.0
-   | -     | -     | -     | -
-   | -     | -     | -     |
-   | -     | -     | -     |
