8240  | 8241  | 8242  | 8243  | 8244  | 8245   | 8246
A11   | A12   | B1    | B2t   | B3    | Cca    | IICg
02‑08 | 12‑20 | 25‑40 | 45‑65 | 75-85 | 90-100 | 115-130
4.44  | 4.22  | 3.03  | 1.32  | 0.44  | 0.48   | 0.39
2.57  | 2.45  | 1.76  | 0.76  | 0.26  | 0.28   | 0.23
0.214 | 0.172 | 0.105 | 0.075 | 0.045 | 0.030  | 0.029
12    | 14    | 16    | 10    | 6     | 9      | 8
22.0  | 30.0  | 22.0  | 36.0  | 35.0  | 29.0   | 20.0
73.7  | 65.4  | 73.6  | 60.7  | 60.8  | 66.6   | 69.3
4.3   | 4.6   | 4.4   | 3.3   | 4.2   | 4.4    | 10.7
N.D.  | N.D.  | N.D.  | N.D.  | N.D.  | N.D.   | N.D.
5.62  | 5.86  | 7.40  | 7.86  | 8.33  | 8.10   | 7.69
4.99  | 5.10  | 6.13  | 6.57  | 6.84  | 6.58   | 6.01
23.32 | 21.98 | 35.51 | 36.45 | 32.40 | 29.19  | 24.11
17.67 | 17.19 | 31.89 | 34.11 | 29.89 | 27.35  | 23.19
13.82 | 10.32 | 8.96  | 3.51  | N.D.  | N.D.   | N.D.
