-  | -     | -     | -     |   -     |
-  | -     | -     | -     |   -     |
O1 | A1    | IIC1  | IIIC2 |   IVC3  |    VC4
-  | 5-12  | 15-20 | 36-70 |   80-95 |    150-170
-  | 11.83 | -     | -     |   -     |    -
-  | 6.86  | -     | -     |   -     |    -
-  | 0.610 | -     | -     |   -     |    -
-  | 11    | -     | -     |   -     |    -
-  | 55.6  | 47.6  | 15.8  |   15.8  |    3.8
-  | 24.9  | 28.5  | 3.0   |   12.5  |    2.7
-  | 31.5  | 37.3  | 14.1  |   49.1  |    7.2
-  | 4.5   | 7.3   | 26.3  |   16.9  |    13.3
-  | 6.6   | 5.5   | 33.2  |   11.8  |    22.2
-  | 1.7   | 2.1   | 10.4  |   6.2   |    50.9
-  | 0.1   | 0.1   | 0.2   |   0.1   |    2.5
-  | -     | -     | -     |   0.1   |    0.1
-  | -     | -     | -     |   -     |    -
-  | -     | -     | -     |   -     |
-  | 0     | 0.1   | vest   (n) |     vest  (n)     | 0
-  | 57.4  | 44.5  | 15.8  |   18.4  |    4.1
-  | 1023  | 650   | 552   |   463   |    3248
-  | 5.5   | 7.5   | 8.5   |   8.0   |    7.9
-  | 6.0   | 8.2   | 9.2   |   8.8   |    8.7
-  | 4.7   | 6.3   | 8.0   |   7.5   |    7.4
-  | 2.70  | 2.87  | 8.58  |   8.39  |    -
-  | 6.8   | -     | -     |   -     |    -
-  | 10.7  | 9.2   | 2.5   |   3.7   |    -
-  | 0.5   | 0.4   | -     |   -     |    -
-  | 20.8  | -     | -     |   -     |    -
-  | 15    | 34    | 63    |   65    |    -
-  | 34.1  | -     | -     |   -     |    -
-  | 69.3  | 27.2  | 4.0   |   5.7   |    -
-  | 49    | -     | -     |   -     |    -
