8234  | 8235  | 8236  | 8237  | 8238   | 8239
A11   | A12   | B21t  | B22t  | B3ca   | Cca
02‑12 | 17‑22 | 30‑40 | 50‑70 | 85‑100 | 114-120
4.11  | 3.09  | 1.68  | 1.04  | 0.31   | 0.26
2.38  | 1.78  | 0.97  | 0.60  | 0.18   | 0.15
0.220 | 0.152 | 0.104 | 0.074 | 0.044  | 0.029
11    | 12    | 9     | 8     | 4      | 5
-     | -     | -     | -     | -      |
23.0  | 32.0  | 33.0  | 32.0  | 21.0   | 21.0
70.9  | 62.1  | 62.3  | 63.3  | 74.0   | 74.5
6.1   | 5.9   | 4.8   | 4.7   | 5.1    | 4.6
N.D.  | N.D.  | N.D.  | N.D.  | N.D.   | N.D.
5.52  | 5.76  | 6.14  | 7.05  | 7.87   | 8.04
5.24  | 5.17  | 5.23  | 5.80  | 6.77   | 7.08
23.87 | 26.83 | 35.63 | 32.11 | 30.96  | 31.53
19.29 | 22.12 | 33.24 | 30.28 | 27.81  | 29.32
N.D.  | N.D.  | N.D.  | N.D.  | N.D.   | N.D.
10.02 | 5.53  | 2.72  | 2.37  | 2.79   | 5.04
