-     | -     |
30542 | 30543 | 30544
I     | II    | III
2-24  | 30-45 | 50-90
0.28  | 2.23  | 0.40
0.16  | 1.29  | 0.23
-     | 0.100 | -
-     | 12.9  | -
-     | -     |
6.1   | 0.1   | 36.5
3.0   | 4.0   | 21.5
3.5   | 12.9  | 56.5
0.7   | 2.8   | 2.5
0.1   | 0.9   | 0.4
61.7  | 56.2  | 2.7
33.6  | 26.6  | 1.4
0.3   | 0.5   | -
-     | -     | -
-     | -     | -
8.7   | 2.0   | 44.2
14674 | 35229 | 1467
5.0   | 5.2   | 5.8
5.4   | 5.6   | 6.5
4.3   | 4.6   | 4.9
-     | -     | -
0.4   | 0.5   | 5.6
0.2   | 0.3   | 3.0
0.2   | 0.2   | 1.5
13    | 21    | 15
26    | 26    | 54
1.4   | 1.3   | 18.3
3.6   | 2.6   | 5.8
1.5   | 1.4   | 19.4
93    | 93    | 94
28    | 33    | 76
26.6  | 64.7  | 24.4
1.00  | 1.00  | 1.04
