- | -    | 462  | 485 | 656 | nd | nd
- | -    | -    | -   | -   | -  |
d | Ca++ | 34.0 | 1.8 | 1.0 | ND | ND
e | -    | -    | -   | -   | -  |
- | Mg++ | 3.6  | 1.8 | 1.0 | ND | ND
c | -    | -    | -   | -   | -  |
a | K+   | 0.3  | 0.3 | 0.4 | ND | ND
m | -    | -    | -   | -   | -  |
b | Na+  | 0.6  | 0.5 | 0.7 | ND | ND
i | -    | -    | -   | -   | -  |
o | H+   | 5.5  | 1.6 | ND  | ND | ND
