-     | -     | -     |
-     | -     | -     |
A1    | IIB21 | IIB22 | IIB3
2-6   | 25-45 | 70-85 | 110-130
3.48  | 1.4   | 0.53  | -
2.02  | 0.84  | 0.31  | -
0.291 | 0.084 | 0.046 | -
10    | 11    | 8     | -
28.3  | 30.9  | 43.2  | 33.6
20.6  | 24.7  | 18.3  | 25.4
48.6  | 46.1  | 38.1  | 44.2
7.4   | 8.5   | 8.7   | 8.4
1.7   | 1.7   | 2.1   | 2.9
8.4   | 7.2   | 5.4   | 6.5
4.7   | 4.5   | 1.8   | 3.7
0.9   | 1.1   | 0.2   | 0.7
-     | -     | -     | -
-     | -     | -     |
0     | vest. | 0.5   | 0
23.4  | 26.7  | 48.6  | 35.2
2111  | 1088  | 536   | 633
6.8   | 7.7   | 7.8   | 7.4
7.2   | 8.5   | 8.6   | 8.3
5.7   | 6.7   | 7.1   | 6.4
-     | 2.01  | 4.85  | 3.27
6.2   | -     | -     | 7.5
2.3   | 6.8   | 13.1  | 11.1
1.1   | 1.1   | 2.4   | 2.0
4.3   | -     | -     | 2.8
14    | 36    | 52    | 45
15.5  | -     | -     | 26.2
15.9  | 19.0  | 25.4  | 24.5
97    | -     | -     | 100
