-      | -      |
30539  | 30540  | 30541
Ap     | I      | II
2-14   | 20-40  | 50-100
3.32   | 2.22   | 0.12
1.93   | 1.29   | 0.07
0.249  | 0.143  | -
7.7    | 9.0    | -
12.5   | 11.4   | 14.9
10.4   | 13.7   | 7.3
42.5   | 40.3   | 37.2
37.0   | 36.5   | 36.4
6.3    | 8.4    | 7.7
1.4    | 3.2    | 3.8
0.2    | 0.2    | -
0.1    | -      | -
-      | -      | -
-      | -      | -
17.8   | 15.9   | 17.3
4500   | 13696  | 5087
4.7    | 4.5    | 5.2
5.2    | 4.8    | 5.7
4.0    | 3.7    | 4.5
-      | -      | -
1.9    | 1.8    | 2.3
0.4    | 0.4    | 0.4
1.3    | 1.3    | 0.8
2.3    | 2.5    | 4.2
55     | 40     | 35
11.0   | 8.9    | 9.7
13.6   | 17.3   | 5.3
16.8** | 15.5** | 9.5**
65     | 57     | 100
45     | 34     | 65
371.3  | 224.9  | 41.4
1.02   | 1.02   | 1.02
