-     | -     | -     | -     | -       |
282   | 283   | 284   | 285   | 286     | 287
A1    | A3    | B21t  | B22t  | B31     | B32
05-15 | 20-32 | 50-68 | 80-95 | 110-135 | 145-170
3.1   | 2.0   | 1.0   | 0.4   | 0.3     | 0.2
0.20  | 0.11  | 0.06  | 0.03  | 0.02    | ND
9     | 10    | 9     | 7     | 6       | ND
24.7  | 25.6  | 46.4  | 39.4  | 35.7    | 26.4
32.2  | 34.7  | 22.2  | 29.3  | 32.2    | 39.7
69.4  | 69.0  | 48.9  | 56.0  | 57.8    | 72.8
4.3   | 4.0   | 3.9   | 3.9   | 5.4     | 1.0
1.1   | 1.0   | 0.5   | 0.5   | 0.8     | 0.3
0.4   | 0.4   | 0.3   | 0.2   | 0.3     | 0.1
0.1   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0
-     | -     | -     | -     | -       |
0.0   | 0.0   | 0.0   | 0.3   | 0.0     | 0.0
5.5   | 5.4   | 6.2   | 6.9   | 6.8     | 7.0
5.0   | 5.0   | 5.3   | 6.1   | 5.9     | 6.1
-     | -     | -     | -     | -       | -
20.4  | 19.0  | 31.0  | 26.0  | 23.2    | 23.3
11.9  | 11.5  | 19.0  | -     | 14.0    | 14.3
-     | -     | -     | -     | -       |
2.9   | 2.7   | 6.9   | -     | 5.9     | 5.9
-     | -     | -     | -     | -       |
1.5   | 0.8   | 1.6   | 1.5   | 1.4     | 1.4
-     | -     | -     | -     | -       |
0.2   | 0.2   | 0.3   | 0.4   | 0.4     | 0.5
-     | -     | -     | -     | -       |
5.0   | 5.0   | 4.1   | -     | 2.1     | 1.5
-     | -     | -     | -     | -       |
0.98  | 1.05  | 0.97  | 1.54  | 1.72    | 2.15
-     | -     | -     | -     | -       |
26.2  | 26.4  | 41.0  | 33.3  | 31.0    | 30.1
-     | -     | -     | -     | -       | -
