-     | -     | -     | -     |
764   | 765   | 766   | 767   | 768
Ap    | B21t  | B22t  | B31ca | B32ca
00-12 | 22-35 | 48-65 | 80-95 | 130-150
3.42  | 2.20  | 1.30  | 0.68  | 0.13
1.99  | 1.28  | 0.76  | 0.40  | 0.08
0.201 | 0.125 | 0.066 | 0.050 | -
10    | 10    | 11    | 8     | -
25.5  | 39.2  | 43.3  | 38.2  | 33.4
35.5  | 25.1  | 26.3  | 28.0  | 27.3
71.5  | 58.1  | 54.1  | 59.0  | 62.8
0.6   | 0.6   | 0.7   | 0.7   | 0.6
1.6   | 1.4   | 1.2   | 1.3   | 1.8
0.8   | 0.7   | 0.7   | 0.8   | 1.4
0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 1.2   | 6.8   | 6.1
6.1   | 6.6   | 7.9   | 8.2   | 8.3
5.5   | 5.6   | 6.6   | 6.7   | 6.8
29.8  | 40.6  | 45.1  | 36.8  | 36.1
1.3   | 2.7   | 5.5   | 7.4   | 9.9
30.3  | 41.8  | 47.4  | 42.1  | 41.0
