-     | -     | -     |
5159  | 5160  | 5161  | 5162
I     | II    | III   | IV
05-20 | 28-42 | 62-75 | 110-140
0.07  | 0.41  | 0.34  | 0.28
0.05  | 0.03  | 0.02  | 0.02
1     | 8     | 10    | 8
-     | -     | -     |
N.D.  | N.D.  | N.D.  | N.D.
6.4   | 6.7   | 6.5   | 6.4
5.2   | 5.6   | 5.2   | 4.8
5.70  | 6.50  | 5.80  | 7.30
-     | -     | -     |
2.50  | 3.20  | 3.60  | 3.90
-     | -     | -     |
1.10  | 1.20  | 1.10  | 1.00
-     | -     | -     |
1.20  | 1.30  | 1.20  | 1.70
-     | -     | -     |
0.20  | 0.20  | 0.20  | 0.19
-     | -     | -     |
0.50  | 0.60  | 0.60  | 0.50
3.51  | 3.08  | 3.45  | 2.60
4.77  | 5.91  | 6.10  | 6.81
-     | -     | -     | -
