181   | 182   | 183    | 184    | 185
A1    | IIA1  | IIB21t | IIB22t | IIB3
03‑15 | 25‑45 | 53‑70  | 80‑100 | 115‑135
5.0   | 2.1   | 1.4    | 1.1    | 0.4
10    | 10    | 10     | 9      | 9
46.7  | 27.2  | 43.4   | 49.6   | 41.8
30.7  | 30.7  | 24.7   | 22.0   | 21.7
51.2  | 67.5  | 51.6   | 46.6   | 53.5
1.0   | 3.0   | 3.1    | 2.3    | 3.0
0.7   | 1.5   | 1.2    | 1.0    | 1.3
0.4   | 0.8   | 0.7    | 0.5    | 0.4
0.0   | 0.0   | 0.0    | 0.0    | 0.0
0.0   | 0.0   | 0.0    | 0.0    | 0.0
6.0   | 6.2   | 6.4    | 6.7    | 7.0
5.5   | 5.6   | 5.5    | 5.6    | 6.0
40.2  | 23.8  | 31.0   | 34.7   | 28.8
1.2   | 2.5   | 4.8    | 4.0    | 2.4
46.1  | 29.7  | 45.5   | 49.9   | 38.6
