-      | -      |   -      |    -     |
-      | -      |   -      |    -     |
A11    | A12    |   A13    |    IIC1  | C2
3-8    | 15-28  |   38-50  |    53-73 | 70-86
4.07   | 1.59   |   1.36   |    0.48  | -
2.36   | 0.92   |   0.79   |    0.28  | -
0.2747 | 0.1526 |   0.0763 |    -     | -
9      | 6      |   10     |    -     | -
26.2   | 27.8   |   27.3   |    12.4  | 1.8
12.7   | 10.2   |   13.4   |    8.3   | 0.5
20.7   | 17.1   |   18.6   |    18.3  | 4.5
0.9    | 1.9    |   1.5    |    0.5   | 0.1
0.6    | 2.2    |   1.6    |    0.7   | 0.1
30.3   | 30.4   |   29.7   |    45.1  | 60.9
17.9   | 19.8   |   18.6   |    20.2  | 29.8
3.4    | 0.8    |   2.6    |    2.7   | 2.6
-      | -      |   0.1    |    -     | -
-      | -      |   -      |    -     |
0      | vest    (n) |      vest  (n)   | 0.1   | 0.2
20.5   | 18.3   |   21.5   |    8.3   | 1.2
2867   | 3505   |   2230   |    4479  | 14656
5.5    | 5.7    |   7.0    |    7.7   | 7.9
5.7    | 6.2    |   7.8    |    8.2   | 8.6
5.1    | 5.3    |   6.7    |    7.2   | 7.5
-      | -      |   -      |    -     | -
1.4    | -      |   -      |    -     | -
1.1    | 0.5    |   0.6    |    0.4   | -
0.8    | 0.4    |   0.4    |    0     | -
7.6    | -      |   -      |    -     | -
5      | 2      |   2      |    4     | -
16.6   | -      |   -      |    -     | -
20.5   | 23.7   |   24.7   |    8.9   | -
81     | -      |   -      |    -     | -
