8547  | 8548  | 8549  | 8550  | 8551   | 8552
A1    | B21t  | B22t  | B23   | B3     | C
02-09 | 15-35 | 45-65 | 73-90 | 97-110 | 127-130
7.52  | 2.00  | 1.22  | 1.09  | 0.36   | 0.08
0.38  | 0.10  | 0.06  | 0.05  | 0.04   | 0.03
11.01 | 11.09 | 11.33 | 12.00 | 4.88   | 1.33
40.95 | 48.43 | 50.37 | 53.87 | 49.42  | 47.67
31.06 | 30.52 | 30.81 | 30.50 | 31.73  | 33.88
57.18 | 49.32 | 47.33 | 44.62 | 45.21  | 43.29
1.33  | 1.54  | 1.09  | 0.46  | 0.65   | 3.90
0.51  | 0.66  | 1.17  | 1.01  | 4.69   | 5.12
0.03  | 0.05  | 0.04  | 0.04  | 0.03   | 0.02
-     | -     | -     | -     | -      | -
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
5.6   | 6.2   | 6.8   | 7.2   | 7.5    | 7.7
4.8   | 5.1   | 5.4   | 5.9   | 6.0    | 6.2
1.16  | 0.67  | 0.79  | 0.85  | 0.73   | 0.61
38.1  | 41.3  | 41.9  | 44.1  | 40.1   | 37.0
3.41  | 3.39  | 3.34  | 3.40  | 3.49   | 3.51
46.83 | 49.51 | 54.92 | 57.20 | 52.30  | 42.66
