-     | -     | -     | -     |
5267  | 5268  | 5269  | 5270  | 5271
Ap    | B21t  | B22t  | B3    | Cca
05-15 | 20-30 | 45-60 | 70-90 | 110-130
3.62  | 2.12  | 1.26  | 0.59  | 0.30
0.15  | 0.10  | 0.06  | 0.04  | -
14    | 12    | 11    | 8     | -
24.68 | 34.41 | 29.43 | 25.27 | 36.64
25.02 | 21.14 | 24.96 | 26.33 | 29.35
64.36 | 58.73 | 62.47 | 65.54 | 54.16
8.40  | 6.45  | 7.64  | 8.68  | 11.05
2.54  | 0.39  | 0.45  | 0.50  | 1.13
-     | -     | -     | -     | -
0.02  | 0.02  | 0.02  | 0.01  | 0.02
-     | -     | -     | -     |
-     | -     | -     | -     | 10.2
6.6   | 6.9   | 7.0   | 7.2   | 8.4
5.4   | 5.5   | 5.4   | 5.7   | 7.3
23.8  | 30.5  | 31.3  | 27.2  | 26.5
16.0  | 22.0  | 23.4  | 20.8  | 20.2
-     | -     | -     | -     |
2.8   | 3.2   | 3.7   | 3.1   | 3.4
-     | -     | -     | -     |
2.63  | 2.22  | 1.95  | 1.80  | 1.50
-     | -     | -     | -     |
0.43  | 1.0   | 1.1   | 0.7   | 0.86
-     | -     | -     | -     |
1.3   | 0.9   | 0.8   | 0.8   | ND
-     | -     | -     | -     |
24.61 | 31.33 | 29.19 | 26.40 | 24.64
