30564 | 30565 | 30566 | 30567
I     | II    | III   | IV
2-16  | 20-35 | 40-76 | 80-110
7.07  | 0.55  | 0.26  | 0.33
4.11  | 0.32  | 0.15  | 0.19
0.357 | 0.066 | -     | -
11    | 5     | -     | -
25.5  | 24.3  | 17.5  | 18.6
27.0  | 24.7  | 20.0  | 20.5
53.5  | 50.6  | 59.0  | 48.3
15.5  | 15.0  | 16.1  | 23.3
4.3   | 7.7   | 5.5   | 5.5
1.2   | 2.4   | 1.1   | 3.4
-     | -     | -     | 0.9
-     | -     | -     | -
-     | -     | -     | -
-     | -     | 0.8   | -
29.1  | 23.8  | 20.4  | 21.9
4954  | 5328  | 3085  | 3085
4.7   | 5.6   | 7.1   | 7.1
5.4   | 6.2   | 7.6   | 7.5
2,5)
-     | -     | -     | -
5.1   | 5.5   | -     | 5.2
0.5   | 0.7   | 0.8   | 1.2
0.3   | 0.3   | 0.2   | 0.2
1.8   | 4.3   | 5.5   | 8.5
65    | 49    | 46    | 40
21.4  | 17.3  | -     | 15.8
11.9  | 5.3   | -     | 4.5
27.6  | 16.2  | 14.3  | 14.0
78    | 100   | -     | 100
64    | 76    | -     | 78
4.7   | 0.9   | 1.1   | 1.6
1.03  | 1.03  | 1.02  | 1.02
