-    | -     | -      | -      |
A11  | A12   | IIB21t | IIB22t | IIB3ca
4-15 | 22-33 | 42-56  | 69-80  | 92-116
5,02 | 3,53  | 1,24   | 0,76   | 0,60
2,92 | 2,05  | 0,72   | 0,44   | 0,35
0,67 | 0,63  | 0,58   | 0,47   | 0,36
4,0  | 3,0   | 1,24   | 0,94   | 0,97
-    | -     | -      | -      |
0,0  | 0,0   | 0,0    | 0,0    | 0,0
40,8 | 38,7  | 59,9   | 61,6   | 57,7
17,3 | 17,4  | 27,6   | 30,7   | 28,3
5,3  | 5,3   | 6,2    | 7,1    | 7,3
5,3  | 5,7   | 6,2    | 6,8    | 7,4
4,5  | 4,4   | 4,3    | 4,2    | 5,8
-    | -     | -      | -      | -
-    | -     | -      | -      | -
1162 | 1278  | 697    | 581    | 581
1,4  | 1,4   | 0,4    | 1,8    | 2,0
0,3  | 0,4   | 0,1    | 0,4    | 0,4
0,3  | 0,2   | 0,2    | 0,4    | 0,4
12,0 | 14,0  | 20,7   | 23,8   | 22,5
1,1  | 1,1   | 1,1    | 1,1    | 1,1
13,3 | 15,5  | 22,1   | 24,5   | 23,8
90,2 | 90,2  | 90,2   | 96,9   | 94,5
-    | -     | -      | -      | -
2,3  | 2,6   | 0,5    | 1,6    | 1,7
