-     | -     | -       | -       |
-     | -     | -       | -       |
A1    | IIC1  | IIIC2   | IVC3    | VC4
5-20  | 40-60 | 105-120 | 130-150 | 160-180
1.40  | 0.60  | 2.86    | 0.98    | -
0.81  | 0.35  | 1.66    | 0.57    | -
0.084 | 0.076 | 0.170   | 0.07    | -
10    | 5     | 10      | 8       | -
18.0  | 21.4  | 35.5    | 39.3    | 33.9
11.4  | 15.3  | 40.8    | 41.4    | 55.9
35.3  | 49.4  | 60.1    | 56.9    | 64.5
21.4  | 12.9  | 2.9     | 1.9     | 1.1
18.7  | 11.8  | 0.9     | 1.1     | 0.3
6.3   | 4.4   | 0.4     | 0.7     | 0.2
0.2   | 0.1   | 0.2     | 0.1     | 0.2
0.1   | -     | -       | -       | -
-     | -     | -       | -       | -
-     | -     | -       | -       |
0     | 0     | 0       | 0       | 0
14.0  | 17.3  | 32.5    | 34.3    | 31.0
5522  | 1012  | 368     | 322     | 476
5.6   | 5.3   | 5.8     | 7.0     | 7.3
4.9   | 5.4   | 6.0     | 7.2     | 7.7
4.9   | 4.7   | 5.3     | 6.2     | 6.3
-     | 2.60  | 11.24   | 10.43   | 6.64
3.6   | 3.8   | -       | -       | -
0.5   | 0.5   | -       | -       | -
0.6   | 0.2   | -       | -       | -
5.3   | 4.1   | -       | -       | -
5     | 4     | -       | -       | -
9.1   | 10.6  | -       | -       | -
10.0  | 12.2  | -       | -       | -
91    | 87    | -       | -       | -
