8661  | 8662  | 8663  | 8664  | 8665  | 8666
A1    | B21t  | B22t  | B31ca | B32ca | C
02-09 | 15-30 | 35-43 | 50-70 | 80-90 | 105-115
4.06  | 2.07  | 1.43  | 0.79  | 0.15  | 0.07
0.21  | 0.10  | 0.08  | 0.05  | 0.06  | 0.03
10.81 | 11.15 | 9.30  | 7.72  | 1.23  | 1.25
26.86 | 43.00 | 53.28 | 54.53 | 50.01 | 47.81
35.06 | 29.87 | 21.34 | 22.12 | 22.14 | 22.90
61.01 | 51.60 | 43.24 | 38.59 | 45.72 | 44.89
5.33  | 2.99  | 2.66  | 4.88  | 1.37  | 3.24
6.78  | 2.39  | 0.81  | 1.99  | 2.87  | 4.04
0.02  | 0.02  | 0.01  | 0.01  | 0.03  | 0.02
-     | -     | -     | -     | -     | -
vest. | vest. | 0.79  | 2.97  | 2.29  | 0.19
6.9   | 7.2   | 7.8   | 8.1   | 8.1   | 7.7
6.1   | 6.3   | 6.6   | 6.9   | 6.8   | 6.1
2.12  | 1.42  | 1.60  | 1.49  | 1.28  | 0.86
30.8  | 36.6  | 40.0  | 40.0  | 38.0  | 37.2
3.25  | 3.82  | 5.00  | 5.50  | 5.26  | 5.38
27.78 | 48.00 | 52.36 | 52.12 | 49.30 | 46.57
