-     | -     |
-     | -     |
A/C   | C1    | IIC2
5-15  | 30-50 | 57-67
0.57  | -     | -
0.33  | -     | -
0.034 | -     | -
10    | -     | -
1.0   | 1.2   | 3.5
1.0   | 0.3   | 1.0
1.0   | 0.6   | 1.2
0.1   | 0.1   | 0.2
0.2   | 0.2   | 0.2
48.5  | 61.6  | 53.8
49.1  | 35.1  | 38.7
0.1   | 1.2   | 2.4
-     | -     | -
-     | -     |
0     | 0     | 0
1.7   | 0.9   | 1.3
2712  | 2583  | 2368
6.5   | 6.5   | 6.5
7.4   | 7.4   | 7.5
5.9   | 5.8   | 5.9
-     | -     | -
0.25  | 0.40  | 0.70
0.15  | 0.10  | 0.15
0.05  | 0.05  | 0.05
0.80  | 0.40  | 1.20
14    | 9     | 10
1.20  | 1.05  | 1.55
1.10  | 1.10  | 1.50
100   | 95    | 100
