-     | -     | -     | -     | -     |
7664  | 7665  | 7666  | 7667  | 7668  | 7669
A11   | A12   | B21t  | B22t  | B3    | C
03-12 | 15-25 | 29-45 | 50-65 | 70-95 | 110-125
3.68  | 2.99  | 1.97  | 0.84  | 0.15  | 0.15
0.195 | 0.162 | 0.138 | 0.075 | 0.038 | 0.035
11    | 11    | 8     | 6     | 2     | 2
26.59 | 29.92 | 43.89 | 43.99 | 37.44 | 35.48
37.64 | 37.58 | 35.03 | 34.80 | 37.15 | 36.75
63.23 | 59.75 | 52.05 | 52.29 | 58.55 | 58.97
0.96  | 0.67  | 086   | 0.84  | 0.99  | 1.54
8.76  | 9.16  | 3.02  | 2.72  | 2.92  | 3.93
0.46  | 0.50  | 0.18  | 0.16  | 0.10  | 0.08
-     | -     | -     | -     | -     | -
-     | -     | -     | 3.97  | 3.49  | 2.27
6.3   | 6.4   | 7.1   | 7.9   | 8.2   | 8.3
5.7   | 5,4   | 5.9   | 6.8   | 7.1   | 7.1
0.408 | 0.469 | 0.462 | 0.500 | 0.530 | 0.631
24.42 | 27.00 | 39.38 | 41.50 | 34.54 | 31.68
1.02  | 1.11  | 0.94  | 1.13  | 4.69  | 3.94
28.19 | 29.59 | 46.91 | 46.25 | 40.04 | 32.54
11.4  | 2.7   | 1.9   | 1.6   | 1.5   | 1.5
