-    | -     | -     |
-    | -     | -     |
O1   | A1    | IIC1  | IIIC2
23-3 | 5-25  | 30-50 | 60-80
-    | 5.36  | 0.55  | -
-    | 3.11  | 0.32  | -
-    | 0.412 | 0.041 | -
-    | 8     | 8     | -
-    | 50.2  | 26.5  | 17.0
-    | 30.4  | 49.4  | 47.3
-    | 48.3  | 70.9  | 78.8
-    | 0.7   | 1.3   | 2.1
-    | 0.6   | 1.1   | 1.3
-    | 0.1   | 0.1   | 0.5
-    | 0.1   | 0.1   | 0.3
-    | -     | -     | -
-    | -     | -     | -
-    | -     | -     |
0    | 0     | 0     | 0
75.0 | 49.7  | 29.5  | 31.1
1303 | 2541  | 2103  | 2383
5.5  | 5.8   | 6.9   | 6.9
5.8  | 6.3   | 8.2   | 8.0
4.8  | 4.8   | 5.9   | 5.9
-    | -     | -     | -
-    | 6.9   | 7.9   | 5.9
-    | 2.5   | 1.8   | 1.5
-    | 0.6   | 0.4   | 0.2
-    | 15.5  | 4.0   | 3.5
-    | 6     | 7     | 7
-    | 32.0  | 23.9  | 21.6
-    | 42.2  | 24.4  | 22.1
-    | 76    | 98    | 98
