-     | -      | -      |   -      |
-     | -      | -      |   -      |
A1    | IIB21t | IIB22t |   IIIB23 |    IVC
5-10  | 19-40  | 60-75  |   85-100 |    120-140
3.17  | 1.07   | 0.26   |   -      |    -
1.84  | 0.62   | 0.15   |   -      |    -
0.191 | 0.076  | -      |   -      |    -
10    | -      | -      |   -      |    -
25.2  | 37.8   | 44.3   |   50.6   |    24.9
15.0  | 14.1   | 12.9   |   17.7   |    4.8
32.1  | 28.1   | 25.7   |   28.3   |    16.8
19.2  | 11.7   | 10.3   |   11.5   |    16.5
19.1  | 18.5   | 16.3   |   7.4    |    33.1
4.1   | 3.8    | 3.3    |   1.8    |    8.6
0.3   | 0.1    | 0.1    |   0.4    |    0.1
-     | -      | -      |   -      |    -
-     | -      | -      |   -      |    -
-     | -      | -      |   -      |
0     | 0      | vest    (n) |      vest  (n)     | vest  (n)
22.8  | 35.1   | 41.6   |   40.0   |    20.3
3248  | 601    | 212    |   203    |    300
4.8   | 6.3    | 7.3    |   7.2    |    7.3
5.7   | 7.4    | 7.6    |   7.6    |    7.9
4.1   | 5.6    | 6.5    |   6.7    |    6.6
-     | 3.95   | 12.58  |   17.39  |    12.89
3.2   | 5.5    | -      |   -      |    -
1.5   | 3.6    | -      |   -      |    -
0.4   | 0.5    | -      |   -      |    -
10.6  | 3.4    | -      |   -      |    -
10    | 17     | -      |   -      |    -
10.7  | 20.2   | -      |   -      |    -
14.7  | 21.1   | -      |   -      |    -
73    | 96     | -      |   -      |    -
