7201  | 7202  | 7203  | 7204    | 7205
A11   | A12   | IIB2t | IIB3    | IIC
03‑20 | 35‑60 | 72‑90 | 100‑115 | 130‑150
1.40  | 0.60  | 0.45  | 0.23    | 0.08
0.08  | 0.04  | 0.04  | 0.04    | 0.03
9.74  | 8.00  | 5.33  | 3.24    | 1.43
7.43  | 8.56  | 23.85 | 27.60   | 6.1
8.49  | 7.17  | 5.78  | 12.09   | 6.12
15.80 | 11.97 | 16.19 | 26.15   | 32.64
0.98  | 0.41  | 0.13  | 0.25    | 0.53
72.38 | 74.70 | 57.07 | 44.11   | 43.08
3.39  | 4.27  | 2.69  | 1.69    | 1.09
0.02  | 0.09  | 0.07  | 0.20    | 0.05
0.0   | 0.0   | 0.0   | 0.0     | 0.0
6.0   | 6.1   | 6.1   | 6.3     | 6.7
5.1   | 5.3   | 5.3   | 5.4     | 5.9
0.40  | 0.17  | 0.18  | 0.17    | 0.61
7.90  | 6.80  | 10.99 | 16.60   | 12.80
2.15  | 1.47  | 1.09  | 1.81    | 2.34
8.71  | 8.05  | 20.06 | 23.16   | 20.81
