7195  | 7196  | 7197  | 7198  | 7199   | 7200
A11   | A12   | B21t  | B22t  | B3     | Cca
02‑15 | 19‑29 | 34‑48 | 53‑69 | 84‑100 | 118‑138
3.65  | 2.35  | 1.19  | 0.44  | 0.08   | 0.08
0.17  | 0.12  | 0.08  | 0.05  | 0.04   | 0.03
11.6  | 10.4  | 7.90  | 4.36  | 0.97   | 1.54
25.63 | 28.85 | 43.82 | 38.90 | 34.64  | 30.62
31.28 | 30.95 | 20.52 | 25.52 | 27.50  | 36.22
65.42 | 62.40 | 49.77 | 53.84 | 57.44  | 62.71
1.87  | 1.74  | 0.98  | 1.70  | 2.16   | 2.55
6.87  | 6.91  | 5.37  | 5.47  | 5.67   | 4.29
0.11  | 0.10  | 0.06  | 0.09  | 0.09   | 0.17
-     | -     | -     | -     | -      | -
0.00  | 0.00  | 0.00  | 0.00  | 0.00   | 2.52
5.7   | 5.8   | 6.1   | 6.5   | 6.6    | 7.8
5.0   | 5.1   | 5.4   | 5.6   | 5.8    | 6.9
0.59  | 0.61  | 0.60  | 0.31  | 0.25   | 0.66
29.70 | 19.30 | 30.40 | 28.50 | 27.20  | 33.60
0.40  | 0.62  | 1.97  | 1.99  | 1.36   | 2.17
26.48 | 27.47 | 41.38 | 35.91 | 33.78  | 32.89
