- | -    | 3643  | 3889  | 4421  | 4562  | 4803 | 4415
- | -    | -     | -     | -     | -     | -    |
d | Ca++ | 21.12 | 23.23 | 36.62 | 37.38 | -    | 35.41
e | -    | -     | -     | -     | -     | -    |
- | Mg++ | 3.87  | 2.46  | 2.85  | 3.10  | -    | 3.20
c | -    | -     | -     | -     | -     | -    |
a | K+   | 1.10  | 0.92  | 1.60  | 1.63  | 1.69 | 1.90
m | -    | -     | -     | -     | -     | -    |
b | Na+  | 0.67  | 1.05  | 2.65  | 2.65  | 2.97 | 2.75
i | -    | -     | -     | -     | -     | -    |
o | H+   | -     | -     | -     | -     | -    | -
- | -    | 1.84  | 2.70  | 5.99  | 5.81  | 6.18 | 6.23
