- | -    | 2847  | 4703  | 4921  | 4712  | 4637
- | -    | -     | -     | -     | -     |
d | Ca++ | 25.60 | 38.29 | 42.19 | 40.98 | 30.11
e | -    | -     | -     | -     | -     |
- | Mg++ | 0.35  | 1.64  | 1.57  | 2.41  | 2.70
c | -    | -     | -     | -     | -     |
a | K+   | 0.51  | 1.36  | 2.00  | 1.38  | 1.46
m | -    | -     | -     | -     | -     |
b | Na+  | 0.62  | 0.74  | 0.87  | 1.01  | 1.10
i | -    | -     | -     | -     | -     |
o | H+   | -     | -     | -     | -     | -
- | -    | 2.54  | 1.57  | 1.77  | 2.14  | 2.37
