5277  | 5278  | 5279  | 5280  | 5281
Ap    | B21t  | B22t  | B3ca  | Cca
04-16 | 24-40 | 50-65 | 83-97 | +      140
4.47  | 1.53  | 1.08  | 0.38  | 0.08
0.19  | 0.10  | 0.06  | 0.03  | 0.02
14    | 9     | 10    | 7     | 2
31.60 | 44.62 | 50.46 | 41.51 | 39.72
29.34 | 22.40 | 23.87 | 23.72 | 31.55
65.50 | 52.84 | 47.05 | 55.85 | 58.86
2.74  | 2.31  | 2.39  | 2.53  | 1.25
0.15  | 0.12  | 0.12  | 0.11  | 0.12
-     | -     | -     | -     | -
0.01  | 0.11  | 0.02  | -     | 0.04
-     | -     | -     | -     | -
-     | -     | 0.4   | 9.9   | 12.10
6.3   | 7.1   | 8.1   | 8.5   | 8.6
5.0   | 5.5   | 6.3   | 7.2   | 7.1
34.2  | 43.5  | 48.7  | -     | -
28.60 | 42.72 | 37.82 | 33.13 | 34.02
