-     | -     |
30545 | 30546 | 30547
I     | II    | III
2-60  | 70-85 | 90-180
0.21  | 1.90  | 0.02
0.12  | 1.10  | 0.01
-     | 0.100 | -
-     | 11.0  | -
0.2   | 0.1   | 2.0
0.5   | 1.5   | 1.2
0.5   | 2.5   | 1.5
0.3   | 0.1   | 0.1
0.1   | 0.1   | -
63.3  | 68.3  | 69.0
34.2  | 28.5  | 27.2
1.4   | 0.4   | 0.2
-     | -     | -
-     | -     | -
1.5   | 3.5   | 0.7
48915 | 88047 | 78264
4.7   | 4.9   | 4.3
5.2   | 5.9   | 5.3
3.7   | 3.8   | 3.9
-     | -     | -
0.5   | 0.6   | 0.2
0.3   | 0.2   | 0.2
0.2   | 0.1   | 0.0
2.0   | 1.5   | 1.2
62.3  | 23.1  | 32.9
1.00  | 1.00  | 1.00
