-      | -      | -      |
10.391 | 10.392 | 10.393 | 10.394
A1     | ACca   | Cca    | CR
5-17   | 30-40  | 44-100 | 110-120
1.63   | 0.92   | 0.22   | 0.08
0.10   | 0.07   | 0.04   | 0.02
9      | 8      | 3      | 2
30.87  | 25.16  | 25.04  | 26.27
19.36  | 17.48  | 18.32  | 18.00
63.99  | 69.17  | 64.30  | 62.90
0.88   | 0.64   | 1.75   | 2.71
4.19   | 5.00   | 8.83   | 8.09
-      | -      | -      | -
0.07   | 0.03   | 0.08   | 0.03
-      | -      | -      | -
-      | 14.3   | 23.6   | 18.35
7.4    | 7.8    | 7.9    | 7.9
6.5    | 6.9    | 6.9    | 6.9
32.90  | N.D.   | N.D.   | N.D.
28.56  | 25.23  | 24.60  | 23.77
1.5    | 0.3    | 0.2    | 0.2
