-     | -     |   -     |   -     |   -      |
426   | 427   |   428   |   429   |   430    |   431
A1    | B21t  |   B22t  |   B31ca |   B32ca  |   Cca
03-15 | 29-42 |   51-63 |   70-82 |   90-105 |   120-135
5.     3 |     2.9 |     2.4 |     1.7 |      0.7 |       0.4
13    | 15    |   13    |   13    |   10     |   10
25.5  | 36.8  |   45.6  |   43.9  |   42.0   |   37.1
32.0  | 24.7  |   23.8  |   19.9  |   21.2   |   25.1
69.6  | 59.0  |   50.7  |   52.8  |   54.5   |   60.2
1.1   | 0.8   |   0.8   |   0.9   |   0.8    |   0.7
2.2   | 2.0   |   1.6   |   1.3   |   1.4    |   1.1
1.6   | 1.4   |   1.3   |   1.1   |   1.3    |   0.9
0.0   | 0.0   |   0.0   |   0.0   |   0.0    |   0.0
0.0   | 0.0   |   0.0   |   2.0   |   5.1    |   5.9
5.5   | 6.4   |   7.5   |   7.7   |   7.8    |   7.8
5.1   | 5.8   |   6.6   |   6.2   |   7.0    |   7.0
34.0  | 41.9  |   48.1  |   46.8  |   39.2   |   40.1
24.6  | 32.4  |   41.2  |   -     |   -      |   -
-     | -     |   -     |   -     |   -      |
3.8   | 5.1   |   4.9   |   -     |   -      |   -
-     | -     |   -     |   -     |   -      |
1.0   | 0.9   |   1.0   |   1.1   |   1.1    |   1.3
-     | -     |   -     |   -     |   -      |
0.2   | 1.2   |   2.1   |   2.2   |   2.3    |   2.2
-     | -     |   -     |   -     |   -      |
5.2   | 3.1   |   1.0   |   -     |   -      |   -
0.6   | 2.9   |   4.4   |   4.7   |   5.9    |   5.5
31.4  | 42.1  |   47.2  |   46.2  |   42.3   |   42.4
