- | -    | 430   | 460   | nd | nd | nd
- | -    | -     | -     | -  | -  |
d | Ca++ | 30.60 | 32.00 | ND | ND | ND
e | -    | -     | -     | -  | -  |
- | Mg++ | 1.6   | 2.0   | ND | ND | ND
c | -    | -     | -     | -  | -  |
a | K+   | 2.7   | 1.7   | ND | ND | ND
m | -    | -     | -     | -  | -  |
b | Na+  | 1.0   | 2.0   | ND | ND | ND
i | -    | -     | -     | -  | -  |
o | H+   | 5.5   | 5.5   | ND | ND | ND
- | -    | 2.3   | 4.3   | ND | ND | ND
