-  | -     | -     | -     |
-  | -     | -     | -     |
O1 | A1    | IIC1  | IIIC2 | IVC3
-  | 5-12  | 18-25 | 40-75 | 100-145
-  | 5.09  | 0.91  | 0.52  | -
-  | 2.95  | 0.53  | 0.30  | -
-  | 0.224 | 0.077 | 0.035 | -
-  | 13    | 7     | 9     | -
-  | 35.5  | 27.2  | 14.4  | 12.9
-  | 26.2  | 19.1  | 16.3  | 14.3
-  | 57.4  | 60.4  | 45.4  | 57.8
-  | 5.7   | 8.5   | 18.5  | 16.6
-  | 1.1   | 3.6   | 16.2  | 12.4
-  | 0.2   | 0.2   | 5.4   | 0.2
-  | 0.1   | 0.1   | 0.1   | 0.1
-  | -     | -     | -     | -
-  | -     | -     | -     | -
-  | -     | -     | -     |
-  | 0     | 0     | 0     | 0
-  | 31.5  | 22.0  | 12.4  | 9.4
-  | 2628  | 1991  | 733   | 653
-  | 5.2   | 5.9   | 6.6   | 6.6
-  | 5.8   | 6.6   | 7.2   | 7.7
-  | 4.4   | 4.9   | 5.9   | 6.1
-  | -     | -     | 4.77  | 5.30
-  | 4.1   | 3.2   | 2.1   | 1.7
-  | 2.3   | 1.6   | 1.4   | 1.3
-  | 0.3   | 0.1   | 0     | 0
-  | 10.9  | 4.3   | 0.8   | 0.8
-  | 11    | 12    | 21    | 20
-  | 14.9  | 13.0  | 7.2   | 7.0
-  | 20.4  | 13.6  | 6.8   | 6.6
-  | 73    | 96    | 100   | 100
