-  | -     | -     |
-  | -     | -     |
O1 | A1    | IIC1  | IIIC2
-  | 8-20  | 38-57 | 94-103
-  | 2.16  | 0.03  | -
-  | 1.25  | 0.02  | -
-  | 0.166 | -     | -
-  | 8     | -     | -
-  | 28.8  | 28.3  | 19.5
-  | 46.2  | 57.4  | 57.1
-  | 64.4  | 68.8  | 70.7
-  | 2.8   | 2.4   | 4.5
-  | 3.3   | 0.3   | 4.6
-  | 0.5   | 0.1   | 0.4
-  | 0.2   | 0.1   | 0.3
-  | -     | -     | -
-  | -     | -     | -
-  | -     | -     |
-  | 0     | 0     | 0
-  | 33.6  | 33.4  | 24.0
-  | 1014  | 329   | 213
-  | 6.0   | 6.5   | 6.9
-  | 7.2   | 7.4   | 7.2
-  | 5.6   | 5.9   | 6.2
-  | 1.89  | 13.36 | 27.17
-  | 7.5   | -     | -
-  | 2.2   | -     | -
-  | 0.5   | -     | -
-  | 7.4   | -     | -
-  | 8     | -     | -
-  | 23.8  | -     | -
-  | 26.1  | -     | -
-  | 91    | -     | -
